method,episodes,mean_return,std_return,mean_training_key_rate_bps,mean_final_key_rate_bps,mean_raw_kdr,mean_post_reconciliation_kdr,mean_reciprocity,mean_surface_dc_power,mean_feasibility_rate,ablation
complete_model,1,-10.780574901015957,0.0,0.0,0.0,0.19324438936947552,0.053543030954963114,0.8157001717890406,0.29400000000000004,1.0,complete
without_internal_noise,1,-5.377266413735868,0.0,11.608469539375927,11.608469539375927,0.14086162721387277,0.02763643823409983,0.8356705010109149,0.6451162944904875,1.0,without_internal_noise
perfect_control_csi,1,-7.431881899500111,0.0,0.0,0.0,0.1561457893391151,0.03721766853633458,0.8448782381652895,0.29400000000000004,0.875,perfect_control_csi
