method,episodes,mean_return,std_return,mean_training_key_rate_bps,mean_final_key_rate_bps,mean_raw_kdr,mean_post_reconciliation_kdr,mean_reciprocity,mean_surface_dc_power,mean_feasibility_rate,rf_budget
rf_budget_20,1,-15.932895932864692,0.0,15.47939692269589,15.47939692269589,0.20104881782992895,0.07980569501917117,0.8092067864453771,0.5018508921211664,0.875,20.0
rf_budget_35,1,-6.132231788716098,0.0,0.0,0.0,0.16712089574801448,0.030568210655398165,0.8224195630281701,0.29400000000000004,0.875,35.0
