method,episodes,mean_return,std_return,mean_training_key_rate_bps,mean_final_key_rate_bps,mean_raw_kdr,mean_post_reconciliation_kdr,mean_reciprocity,mean_surface_dc_power,mean_feasibility_rate
passive_star_ris,1,-25.51755189560848,0.0,0.0,0.0,0.2779361420008519,0.12552695782434198,0.6096906926621277,0.29400000000000004,0.75
random_partially_active,1,-23.750085062485656,0.0,0.0,0.0,0.25810458216608595,0.11252460692378669,0.6754292983955424,0.6145760285892613,0.5
phase_aligned_partially_active,1,-7.269397917977071,0.0,0.0,0.0,0.14626699717194352,0.03406636155606407,0.8641904396908282,0.29400000000000004,0.875
