method,episodes,mean_return,std_return,mean_training_key_rate_bps,mean_final_key_rate_bps,mean_raw_kdr,mean_post_reconciliation_kdr,mean_reciprocity,mean_surface_dc_power,mean_feasibility_rate,delay_seconds
delay_0_s,1,1.5002972014311469,0.0,210.92535512110675,210.92535512110675,0.0026283031667044205,0.0,0.9984404905022917,1.2560714826826127,1.0,0.0
delay_0.005_s,1,-63.995453283326896,0.0,0.0,0.0,0.45339475356580017,0.30794625118344904,0.4363308956813994,0.29400000000000004,0.625,0.005
