method,episodes,mean_return,std_return,mean_training_key_rate_bps,mean_final_key_rate_bps,mean_raw_kdr,mean_post_reconciliation_kdr,mean_reciprocity,mean_surface_dc_power,mean_feasibility_rate,active_ratio
active_ratio_sweep,1,-6.615690093583995,0.0,0.0,0.0,0.15519383564415906,0.03313855799323333,0.8242229408774701,0.18200000000000002,1.0,0.0
active_ratio_sweep,1,-19.111418336019174,0.0,13.543214462605247,13.543214462605247,0.14861347289907562,0.042032755637155285,0.8301371224358626,0.29400000000000004,0.375,0.25
active_ratio_sweep,1,-8.677789725778283,0.0,0.0,0.0,0.16255960350024645,0.04320074955208192,0.846028989056372,0.6300000000000001,0.625,1.0
