episode,architecture,robust_reward,mean_reward,cvar_reward,worst_reward,mean_secure_key_rate_bps,cvar_secure_key_rate_bps,worst_secure_key_rate_bps,mean_raw_kdr,cvar_raw_kdr,worst_raw_kdr,mean_reciprocity,mean_surface_power_watt,power_violation_probability,mean_active_elements,mean_projection_scale
0.0,passive,-7.730254780002712,-5.686131915767623,-9.7743776442378,-10.640063237050207,0.0,0.0,0.0,0.2658278951225342,0.3432093952395714,0.3526111427757196,0.628734954153536,0.18200000000000002,0.0,0.0,1.0
1.0,passive,-14.126035111104565,-12.981894495034673,-15.270175727174458,-15.692735279818638,0.0,0.0,0.0,0.4098413639784503,0.44824165245607395,0.44747627264883516,0.28145034200183605,0.18200000000000002,0.0,0.0,1.0
2.0,passive,-6.917896644050121,-5.480684893983673,-8.355108394116568,-9.80558750792018,0.0,0.0,0.0,0.2567966832432532,0.3090890440674904,0.33275862068965517,0.6938158755410957,0.18200000000000002,0.0,0.0,1.0
3.0,passive,-15.466100218051327,-14.218431885381204,-16.71376855072145,-17.005021809209772,0.0,0.0,0.0,0.43226636629910586,0.4804224605239143,0.484816384180791,0.19198253922338637,0.18200000000000002,0.0,0.0,1.0
4.0,passive,-10.235125322861382,-8.892296718366564,-11.577953927356202,-12.87598748825572,0.0,0.0,0.0,0.327353039018238,0.3810226508836268,0.4008624695626313,0.4641031041750059,0.18200000000000002,0.0,0.0,1.0
5.0,passive,-6.095417244193824,-4.677562728286825,-7.513271760100823,-9.886254066722094,0.0,0.0,0.0,0.24245905016672442,0.3036353640289947,0.3354670806319058,0.6969970505617016,0.18200000000000002,0.0,0.0,1.0
6.0,passive,-10.55682625152833,-9.056655688048302,-12.056996815008358,-12.675258256588393,0.0,0.0,0.0,0.3278175197931664,0.38961319512073966,0.41103497576454995,0.45241415652214156,0.18200000000000002,0.0,0.0,1.0
7.0,passive,-6.454817936096386,-5.059421645953286,-7.850214226239488,-10.155171071960448,0.0,0.0,0.0,0.24672224515640254,0.31068590143047975,0.33620689655172414,0.6282390016863416,0.18200000000000002,0.0,0.0,1.0
8.0,passive,-6.2358371433163295,-4.508593605080934,-7.963080681551724,-9.702018247892006,0.0,0.0,0.0,0.23267135869678807,0.2928845303314748,0.32196802239905686,0.7240711138878987,0.18200000000000002,0.0,0.0,1.0
9.0,passive,-13.307670034188693,-11.800972162044802,-14.814367906332581,-15.73675609708355,0.0,0.0,0.0,0.38883215425604034,0.4485625156484258,0.45501054852320677,0.3189900498195849,0.18200000000000002,0.0,0.0,1.0
