update_index,critic_loss
1,5.955746650695801
2,5.490513801574707
3,6.427152633666992
4,4.69260311126709
5,6.556490898132324
6,5.388853073120117
7,5.799820423126221
8,4.547435760498047
9,5.579500198364258
10,5.3426713943481445
11,3.3557703495025635
12,3.9600696563720703
13,4.721885681152344
14,2.702737808227539
15,3.529634714126587
16,4.51652717590332
17,2.5033230781555176
18,3.3798060417175293
19,3.214869737625122
20,2.987299919128418
21,3.0274405479431152
22,2.449079751968384
23,2.5535707473754883
24,2.1980175971984863
25,2.6542301177978516
26,2.349599838256836
27,2.394066333770752
28,2.5754215717315674
29,2.486483335494995
30,2.8010430335998535
31,2.72622013092041
32,1.9674148559570312
33,2.1879730224609375
34,2.0533037185668945
35,1.773231029510498
36,1.8960769176483154
37,2.2132015228271484
38,1.6603500843048096
39,1.7600767612457275
40,1.935523509979248
41,1.5725288391113281
42,1.816115140914917
43,1.449222445487976
44,1.1352894306182861
45,1.5317573547363281
46,1.3205957412719727
47,1.1928739547729492
48,1.3344435691833496
49,1.0993852615356445
50,1.3379466533660889
51,1.4875736236572266
52,1.2382675409317017
53,1.0764347314834595
54,0.9946707487106323
55,0.8874549269676208
56,0.834854006767273
57,0.5596620440483093
58,0.7056642770767212
59,0.7064945697784424
60,0.7847895622253418
61,0.660590410232544
62,0.5452904105186462
63,0.653404951095581
64,0.5501641035079956
65,0.6446588039398193
66,0.6821355223655701
67,0.5539683103561401
68,0.4928607642650604
69,0.4837922751903534
70,0.39930474758148193
71,0.5305404663085938
72,0.4932628870010376
73,0.4978752136230469
74,0.4189193844795227
75,0.524200439453125
76,0.43106961250305176
77,0.30410513281822205
78,0.23502418398857117
79,0.4409554898738861
80,0.295413076877594
81,0.27941256761550903
82,0.2908030152320862
83,0.2100352644920349
84,0.2865599989891052
85,0.2687366008758545
86,0.36483514308929443
87,0.2832331657409668
88,0.3029868006706238
89,0.2589327096939087
90,0.2633337080478668
91,0.26018598675727844
92,0.293968141078949
93,0.1893681138753891
94,0.2963729798793793
95,0.4055594205856323
96,0.2557646632194519
97,0.30934813618659973
98,0.8322253227233887
99,0.3035188913345337
100,0.49057120084762573
101,0.4297902584075928
102,0.43141764402389526
103,0.46862924098968506
104,0.1895138919353485
105,0.3437807559967041
106,0.5643117427825928
107,0.5537476539611816
108,0.7186450362205505
109,0.5115765333175659
110,0.3117170035839081
111,0.43935537338256836
112,0.23646411299705505
113,0.2717539370059967
114,0.32670077681541443
115,0.23648294806480408
116,0.4026217460632324
117,0.5052312612533569
118,0.17851689457893372
119,0.4260661005973816
120,0.36813366413116455
121,0.21777400374412537
122,0.3981291651725769
123,0.9367040395736694
124,0.19465307891368866
125,0.39581406116485596
126,0.45216262340545654
127,0.47029054164886475
128,0.4491061270236969
129,0.2802172601222992
130,0.36304211616516113
131,0.23889434337615967
132,0.27592572569847107
133,0.6125973463058472
134,0.4694131314754486
135,0.4000992774963379
136,0.4047776162624359
137,0.3743722140789032
138,0.4376330077648163
139,0.17972919344902039
140,0.3479524552822113
141,0.33079999685287476
142,0.4079829454421997
143,0.40414923429489136
144,0.30080944299697876
145,0.393919974565506
146,0.19850261509418488
147,0.21753506362438202
148,0.2474236786365509
149,0.3075093626976013
150,0.35733985900878906
151,0.33653223514556885
152,0.17694297432899475
153,0.28764045238494873
154,0.33350682258605957
155,0.1520174741744995
156,0.3199390172958374
157,0.27835792303085327
158,0.24645031988620758
159,0.3790440559387207
160,0.2992476224899292
161,0.3139408826828003
162,0.2583189606666565
163,0.15316399931907654
164,0.1869514286518097
165,0.22869499027729034
166,0.1945790797472
167,0.26418739557266235
168,0.242296501994133
169,0.26292598247528076
170,0.2864389717578888
171,0.3374001681804657
172,0.16193009912967682
173,0.25978362560272217
174,0.09133656322956085
175,0.2678818702697754
176,0.26242783665657043
177,0.2102648764848709
178,0.24421842396259308
179,0.2105860710144043
180,0.40664517879486084
181,0.2193123698234558
182,0.2745128870010376
183,0.2722011208534241
184,0.15312036871910095
185,0.2512757182121277
186,0.3529137670993805
187,0.3397984504699707
188,0.30461859703063965
189,0.1685279905796051
190,0.16457077860832214
191,0.21044538915157318
192,0.2940102815628052
193,0.15046820044517517
194,0.27547556161880493
195,0.19962847232818604
196,0.19557371735572815
197,0.24773943424224854
198,0.17925554513931274
199,0.22406458854675293
200,0.2169969528913498
201,0.204003244638443
202,0.15996083617210388
203,0.20214086771011353
204,0.1913512647151947
205,0.2310868799686432
206,0.33583176136016846
207,0.3826882243156433
208,0.32795679569244385
209,0.27489805221557617
210,0.16083958745002747
211,0.3360177278518677
212,0.3705495595932007
213,0.31570810079574585
214,0.24123619496822357
215,0.17600321769714355
216,0.1712953746318817
217,0.2793329954147339
218,0.18514220416545868
219,0.2369707226753235
220,0.19803683459758759
221,0.12165844440460205
222,0.2164345681667328
223,0.1643156111240387
224,0.1241803765296936
225,0.199488565325737
226,0.11496837437152863
227,0.16514596343040466
228,0.15697598457336426
229,0.1675904244184494
230,0.1213492602109909
231,0.158473938703537
232,0.11952152848243713
233,0.158232644200325
234,0.154512420296669
235,0.19475530087947845
236,0.14458298683166504
237,0.1847553551197052
238,0.09568461030721664
239,0.11250180751085281
240,0.16938015818595886
241,0.16730469465255737
242,0.11882638931274414
243,0.1598316729068756
244,0.12502458691596985
245,0.13454625010490417
246,0.21727155148983002
247,0.21547192335128784
248,0.25280696153640747
249,0.08990879356861115
250,0.1730838418006897
251,0.14902713894844055
252,0.1080278530716896
253,0.17621609568595886
254,0.19112780690193176
255,0.1811991035938263
256,0.19163787364959717
257,0.2589215338230133
258,0.171751469373703
259,0.1054801195859909
260,0.12053070962429047
261,0.18348434567451477
262,0.14582130312919617
263,0.10402289032936096
264,0.1865939497947693
265,0.15702468156814575
266,0.1334073543548584
267,0.12172115594148636
268,0.20144590735435486
269,0.13167822360992432
270,0.11770527064800262
271,0.15543845295906067
272,0.17274504899978638
273,0.11542119085788727
274,0.09307941049337387
275,0.11235718429088593
276,0.11747311055660248
277,0.202799990773201
278,0.11401664465665817
279,0.1490086019039154
280,0.19039732217788696
281,0.12355252355337143
282,0.13552162051200867
283,0.11034802347421646
284,0.1175103485584259
285,0.12278585880994797
286,0.18461187183856964
287,0.1336192488670349
288,0.09827842563390732
289,0.11027894914150238
290,0.12163624167442322
291,0.1884748935699463
292,0.11658328771591187
293,0.1954801380634308
294,0.15678688883781433
295,0.14628255367279053
296,0.09178243577480316
297,0.17402152717113495
298,0.17175306379795074
299,0.09013558179140091
300,0.4522102475166321
301,0.10281141102313995
302,0.13913056254386902
303,0.1299300193786621
304,0.6150385737419128
305,0.3246159553527832
306,0.14720231294631958
307,0.31996551156044006
308,0.17779415845870972
309,0.486971914768219
310,0.8843399286270142
311,0.3468038737773895
312,0.5074591636657715
313,0.46062391996383667
314,0.18599560856819153
315,0.2572222352027893
316,0.20036107301712036
317,0.24789297580718994
318,0.12818557024002075
319,0.38197124004364014
320,0.4308772385120392
321,0.18194980919361115
322,0.17628520727157593
323,0.3654140532016754
324,0.39506882429122925
325,0.15291237831115723
326,0.3824937343597412
327,0.34590089321136475
328,0.23366481065750122
329,0.24392229318618774
330,0.2870221436023712
331,0.37251347303390503
332,0.16730451583862305
333,0.2182079553604126
334,0.2377205789089203
335,0.785179853439331
336,0.22318726778030396
337,0.5608050227165222
338,0.3360674977302551
339,0.6871644854545593
340,0.46713364124298096
341,0.6097524762153625
342,0.2745734453201294
343,0.14009007811546326
344,0.6099621057510376
345,0.2830505669116974
346,0.21194501221179962
347,0.23075701296329498
348,0.49267005920410156
349,0.32564783096313477
350,0.2344321310520172
351,0.18182232975959778
352,0.26578831672668457
353,0.22462627291679382
354,0.30741775035858154
355,0.30667954683303833
356,0.2184128314256668
357,0.29452162981033325
358,0.22256234288215637
359,0.14659303426742554
360,0.3192394971847534
361,0.1666785180568695
362,0.15927116572856903
363,0.20288631319999695
364,0.1790318489074707
365,0.31386297941207886
366,0.26323625445365906
367,0.22066420316696167
368,0.22771455347537994
369,0.2768188714981079
370,0.20865187048912048
371,0.12456712126731873
372,0.20826610922813416
373,0.21212849020957947
374,0.17143389582633972
375,0.17203795909881592
376,0.11598580330610275
