environment_step,mean_return,key_rate_bits_per_sample,key_rate_bits_per_second,raw_key_disagreement_rate,observation_reciprocity,surface_power_w,robust_reward,cvar_reward,worst_sample_reward,robust_feasibility_rate,effective_active_elements,power_violation
500,-30.17035939186132,3.346756072615862,3346.7560726158617,0.13427734375,0.9386566455311187,24.52806281800052,-1.8856474619913328,-1.9173570392729067,-1.9173570392729067,1.0,8.0,0.0
1000,-15.328665427984276,2.7202534206600406,2720.253420660041,0.16015625,0.9049968856120647,14.011655975033207,-0.9580415892490174,-0.9969543126312845,-0.9969543126312845,1.0,8.0,0.0
1500,-49.95043263442363,2.8199240471856912,2819.924047185691,0.13623046875,0.9174997934600664,36.17908115006638,-3.1219020396514763,-3.149626751058036,-3.149626751058036,1.0,8.0,0.0
2000,-38.540909601745454,3.6314736378350285,3631.4736378350285,0.111328125,0.9523723215246199,30.629612491730583,-2.408806850109091,-2.446283974627246,-2.446283974627246,1.0,8.0,0.0
