step,reward,mean_secure_key_rate_bps,mean_raw_kdr,mean_reciprocity,mean_active_elements,mean_projection_scale,mean_surface_power_watt,power_violation_probability,critic_loss,actor_loss
0.0,0.1005936512641418,1973.54490967265,0.2090225868398985,0.7400434458764673,0.0,1.0,0.18200000000000002,0.0,nan,nan
100.0,0.08445169511140174,1376.7347572607723,0.20022990142652236,0.7212362062142493,0.0,1.0,0.18200000000000002,0.0,nan,nan
200.0,0.051620735778788,1514.187166973397,0.26557217938019256,0.7064031485805506,0.0,1.0,0.18200000000000002,0.0,nan,nan
300.0,0.0025951576755428966,675.0182243413301,0.23718346248766556,0.6557759808843792,0.0,1.0,0.18200000000000002,0.0,0.00038306540227495134,-0.04964195191860199
400.0,0.15424044458216984,2590.850788206255,0.2154131458651958,0.7498774057640406,0.0,1.0,0.18200000000000002,0.0,0.00031486613443121314,-0.21048250794410706
500.0,0.04206570982288852,978.0707962129075,0.23401017012423292,0.7290087769910066,0.0,1.0,0.18200000000000002,0.0,0.0017057100776582956,-0.4136430323123932
600.0,0.09369585918633039,1685.5194141919574,0.2076142924858022,0.6900624237749989,0.0,1.0,0.18200000000000002,0.0,0.00024689099518582225,-0.6321961879730225
700.0,-0.0384775037831791,799.2011599289001,0.301802752171576,0.542163572787325,0.0,1.0,0.18200000000000002,0.0,0.00028810661751776934,-0.8338413238525391
800.0,0.1917567207705147,3205.815164959824,0.2395428834765787,0.7813418384654529,0.0,1.0,0.18200000000000002,0.0,0.0007903435034677386,-1.006270408630371
900.0,0.08081982232957143,1505.2702948890656,0.2129025869738445,0.7484882669192054,0.0,1.0,0.18200000000000002,0.0,0.0005028672749176621,-1.1109198331832886
1000.0,0.013940091499537885,1019.9899657999182,0.2694871249683374,0.667489692117439,0.0,1.0,0.18200000000000002,0.0,0.0004205152508802712,-1.289232850074768
1100.0,0.04730490522994176,1213.2246084625276,0.22705292971204366,0.7083461206899779,0.0,1.0,0.18200000000000002,0.0,0.0006891918601468205,-1.499253749847412
1200.0,-0.0310031056830068,632.5402424974094,0.27995980485210215,0.5882583375886351,0.0,1.0,0.18200000000000002,0.0,0.000867736351210624,-1.695570707321167
1300.0,-0.04445241422166871,523.3318985381384,0.27587292471603075,0.5510933286968955,0.0,1.0,0.18200000000000002,0.0,0.0006988032255321741,-1.9350273609161377
1400.0,-0.014269878584471155,331.0579223333287,0.26717971757433534,0.7102593200480078,0.0,1.0,0.18200000000000002,0.0,0.0016489012632519007,-2.138965129852295
1500.0,0.10800844777835347,2298.0334760769438,0.24234656933236728,0.7299680594709215,0.0,1.0,0.18200000000000002,0.0,0.0011827358976006508,-2.4288744926452637
1600.0,0.12267860789028913,2369.3960035549185,0.239583462900734,0.7399371889199002,0.0,1.0,0.18200000000000002,0.0,0.001655345899052918,-2.664949417114258
1700.0,0.01246766195743514,950.8490084460154,0.2659606971811975,0.6220706576970123,0.0,1.0,0.18200000000000002,0.0,0.0016907318495213985,-2.855363130569458
1800.0,0.09989356653766442,1941.4455069681576,0.20989888518038283,0.7371627393541522,0.0,1.0,0.18200000000000002,0.0,0.0019481596536934376,-3.243598699569702
1900.0,0.09968352685410663,1971.0336063290806,0.23948980197704878,0.7288545901748134,0.0,1.0,0.18200000000000002,0.0,0.004877678118646145,-3.3857903480529785
2000.0,-0.04274485591716082,454.1459619341747,0.2887024678259724,0.5845606717088191,0.0,1.0,0.18200000000000002,0.0,0.0029351431876420975,-3.53452730178833
2100.0,0.15544914390808207,2353.8623923821597,0.17909800961603484,0.7566972918056218,0.0,1.0,0.18200000000000002,0.0,0.0024015712551772594,-2.193732261657715
2200.0,0.08726335875657215,1935.177469640792,0.2332333396104816,0.7151389983879921,0.0,1.0,0.18200000000000002,0.0,0.0020607030019164085,-2.1479978561401367
2300.0,0.09749357679753959,1848.2129171769761,0.2329017107950756,0.7359343624734591,0.0,1.0,0.18200000000000002,0.0,0.023029189556837082,-2.012460947036743
2400.0,0.09231788041593941,1459.7799036489805,0.19239323897094282,0.7396519221035474,0.0,1.0,0.18200000000000002,0.0,0.0021304809488356113,-2.041013240814209
2500.0,0.07488020652843186,1788.8487129084983,0.24117483254819538,0.7012688716726673,0.0,1.0,0.18200000000000002,0.0,0.003742450615391135,-1.93221116065979
2600.0,0.08741681575550195,1896.0295182203172,0.24783050890091712,0.7262976544425519,0.0,1.0,0.18200000000000002,0.0,0.0026164515875279903,-1.938918113708496
2700.0,0.08542170229686832,1486.579079131608,0.18074553456384726,0.7373747027178983,0.0,1.0,0.18200000000000002,0.0,0.005611936561763287,-1.8463051319122314
2800.0,-0.014323703728145815,765.1298421856322,0.3013555528481337,0.6576141213105886,0.0,1.0,0.18200000000000002,0.0,0.00566308107227087,-2.079169750213623
2900.0,0.10066967821654184,1713.3279861840115,0.2045407003908295,0.7310321826500261,0.0,1.0,0.18200000000000002,0.0,0.015581035986542702,-1.7678049802780151
3000.0,0.01735442912647502,869.5282431064661,0.25070796315320004,0.698205693262716,0.0,1.0,0.18200000000000002,0.0,0.005910957232117653,-1.9279015064239502
3100.0,0.014916535430870105,859.7726851513926,0.23041112392293872,0.6106229928890828,0.0,1.0,0.18200000000000002,0.0,0.006895849946886301,-1.8415396213531494
3200.0,0.06260022840419328,1249.622314501681,0.21093938127726697,0.7060005339138947,0.0,1.0,0.18200000000000002,0.0,0.0039645005017519,-1.8811628818511963
3300.0,0.12066601362401237,1903.5176316439274,0.18957145959314325,0.747290123529622,0.0,1.0,0.18200000000000002,0.0,0.005463739857077599,-1.852677822113037
3400.0,0.08449884533781533,1531.4406644391306,0.22946990797502304,0.760475802002877,0.0,1.0,0.18200000000000002,0.0,0.005595800466835499,-1.820925235748291
3500.0,0.0058556688905582605,1043.6399850399846,0.2736339917826674,0.6228057248305368,0.0,1.0,0.18200000000000002,0.0,0.003896246664226055,-2.0100502967834473
3600.0,0.14797240019300686,2372.812924665638,0.18045496925288462,0.7524402300825134,0.0,1.0,0.18200000000000002,0.0,0.004399449564516544,-1.7792091369628906
3700.0,0.05054769543291171,1584.5682782403228,0.25204989183122684,0.705705923991389,0.0,1.0,0.18200000000000002,0.0,0.008730776607990265,-1.7697787284851074
3800.0,0.03212853994816754,732.6553512355895,0.22425608075918968,0.7430638026491909,0.0,1.0,0.18200000000000002,0.0,0.005826021544635296,-1.8281718492507935
3900.0,0.12025111020405978,2299.1656093153083,0.22908735040931788,0.7120250283031151,0.0,1.0,0.18200000000000002,0.0,0.006093605421483517,-1.7431358098983765
4000.0,0.05461089947392866,1366.956893843136,0.24660363122580364,0.70691632115279,0.0,1.0,0.18200000000000002,0.0,0.005424399860203266,-1.810327172279358
4100.0,0.0856768195033607,1888.8273135703344,0.22806970393730674,0.7131008324190378,0.0,1.0,0.18200000000000002,0.0,0.017747240141034126,-1.7615883350372314
4200.0,-0.09938327957497566,264.6617247946131,0.3428202063147021,0.48265701433434804,0.0,1.0,0.18200000000000002,0.0,0.004112117923796177,-1.8119862079620361
4300.0,0.07624271984080462,1789.0384278273104,0.2533734758605848,0.7292553870113103,0.0,1.0,0.18200000000000002,0.0,0.004806427285075188,-1.5918926000595093
4400.0,0.07941835246035302,1352.9412646924147,0.2266608236992092,0.7109258579711873,0.0,1.0,0.18200000000000002,0.0,0.003984876908361912,-1.5955500602722168
