episode,architecture,robust_reward,mean_reward,cvar_reward,worst_reward,mean_secure_key_rate_bps,cvar_secure_key_rate_bps,worst_secure_key_rate_bps,mean_raw_kdr,cvar_raw_kdr,worst_raw_kdr,mean_post_reconciliation_kdr,cvar_post_reconciliation_kdr,worst_post_reconciliation_kdr,mean_reciprocity,mean_surface_power_watt,power_violation_probability,mean_active_elements,mean_projection_scale
0.0,fully_active_fixed,-0.22591362606147175,-0.19730929310709153,-0.254517959015852,-0.2616959211425993,0.0,0.0,0.0,0.3892390332777165,0.46196923689289654,0.465911355032694,0.23136157170590865,0.3044822152648837,0.30199786266731876,0.30155164956404235,0.6300010638104174,0.0,32.0,0.25954372279354754
1.0,fully_active_fixed,-0.16357667200229759,-0.15100370299431531,-0.17614964101027988,-0.17877558066864918,0.0,0.0,0.0,0.3440758650656591,0.3756713277287824,0.37436974789915967,0.18671528786841732,0.216195508105122,0.21169318791346325,0.42017166839969255,0.6300010414142424,0.0,32.0,0.2599428231692764
2.0,fully_active_fixed,-0.14780438181714523,-0.12838678764609773,-0.16722197598819272,-0.18988434991745778,0.0,0.0,0.0,0.3168776413195732,0.3731647734293507,0.3875084648643017,0.16160761991636993,0.20776093061738593,0.2290462051362192,0.46526018076273346,0.6300000313885782,0.0,32.0,0.0
3.0,fully_active_fixed,-0.15832135376096976,-0.1388723931728353,-0.1777703143491042,-0.19266272545423274,0.0,0.0,0.0,0.33571113689876253,0.37253018143904226,0.3791722042908676,0.18164911762516223,0.21573235778825686,0.19616479969622175,0.45991618474224627,0.6300006167190332,0.0,32.0,0.12786801685580862
4.0,fully_active_fixed,-0.09867312820267193,-0.08607059210867465,-0.1112756642966692,-0.1168105320285447,0.0,0.0,0.0,0.26042146402175087,0.30266550913093737,0.3263009845288326,0.12282027519704247,0.14545053085932252,0.1608244076598507,0.5366581915695456,0.6300000267330435,1.0,32.0,0.0
5.0,fully_active_fixed,-0.04813818914948921,-0.023349114030537223,-0.07292726426844119,-0.10759100993822886,0.0,0.0,0.0,0.20350849723979358,0.28757318895758094,0.30434782608695654,0.06234659003278782,0.14589060195613618,0.15652173913043477,0.7070260892544686,0.6300008326153416,0.0,32.0,0.2036304270931888
6.0,fully_active_fixed,-0.12084135528557385,-0.09945058651039876,-0.14223212406074895,-0.14509767860741646,0.0,0.0,0.0,0.2799993549894378,0.3330522633538639,0.3312666386436878,0.14451582844517713,0.18322302156641407,0.18715846994535518,0.5177460479964187,0.6300011861496359,0.0,32.0,0.33415550273790284
7.0,fully_active_fixed,-0.03354541363588799,-0.019012171376979817,-0.048078655894796166,-0.05941625517805722,0.0,0.0,0.0,0.20268536359536743,0.24749698000242315,0.29058173379483954,0.0527257954890676,0.08100272789677304,0.1286382945248584,0.7266530241834448,0.6300009441598506,0.0,32.0,0.3006363548436468
8.0,fully_active_fixed,-1.7282641853747047,-1.713360804150411,-1.7431675665989987,-1.745082939572084,0.0,0.0,0.0,0.31256143686979776,0.3683439939594429,0.3853464132434089,0.16555731808604457,0.2132267526081225,0.21332996718000508,0.465614453723337,0.6300000456869661,1.0,32.0,0.0
9.0,fully_active_fixed,-0.16567945495336975,-0.13923343255111675,-0.19212547735562274,-0.2116963897135834,0.0,0.0,0.0,0.32862646995660244,0.3904060199272762,0.4107996523250761,0.17321975565444364,0.23959870367896982,0.2725988700564972,0.4403993164630472,0.6300006086542498,0.0,32.0,0.14172897801965778
