repetition,sweep_name,scenario,num_samples,num_elements,active_fraction,active_count,active_gain,directional_gain_error_std_db,directional_phase_error_std_rad,eve_channel_scale,eve_channel_correlation,legitimate_receiver_noise_variance,eve_receiver_noise_variance,guard_band_sigma,selection_policy,weighted_legitimate_mi_bits_per_sample,weighted_eve_leakage_bits_per_sample,weighted_asymptotic_secret_rate_bits_per_sample,weighted_finite_length_rate_bits_per_sample,weighted_quantized_eve_mutual_information_bits_per_retained_bit,weighted_quantized_conditional_min_entropy_bits_per_retained_bit,transmission_quantized_eve_guessing_probability,reflection_quantized_eve_guessing_probability,transmission_quantized_conditional_min_entropy_bits_per_retained_bit,reflection_quantized_conditional_min_entropy_bits_per_retained_bit,weighted_operational_bound_bits_per_sample,transmission_pre_reconciliation_entropy_bound_bits,reflection_pre_reconciliation_entropy_bound_bits,transmission_operational_secret_bit_bound,reflection_operational_secret_bit_bound,aggregate_operational_secret_bit_bound,transmission_retention_ratio,reflection_retention_ratio,transmission_raw_kdr,reflection_raw_kdr,transmission_post_reconciliation_kdr,reflection_post_reconciliation_kdr,transmission_corrections,reflection_corrections,transmission_parity_leakage_bits,reflection_parity_leakage_bits,transmission_final_key_bits,reflection_final_key_bits,aggregate_final_key_bits,transmission_success,reflection_success,dual_side_success
2,eve_channel_correlation,eve_channel_correlation=0.5,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.5,0.01,0.001,0.05,alice,8.071292567062992,0.9940155798499686,7.077276987213024,6.004173586615783,0.3080920333549037,0.25321425434615896,0.8332871306814837,0.8448024284555057,0.26311439565529865,0.2433141130370193,0.0,325,289,0,0,0,0.9572222222222222,0.9538888888888889,0.005803830528148578,0.005824111822947,0.0,0.0,10,10,543,544,0,0,0,False,False,False
2,eve_channel_correlation,eve_channel_correlation=0.75,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.75,0.01,0.001,0.05,alice,8.071292567062992,1.988359431091411,6.082933135971581,5.009829735374341,0.5187168004832328,0.13780889091528958,0.903276736639552,0.9145552664312087,0.1467600413863933,0.12885774044418588,0.0,124,93,0,0,0,0.9572222222222222,0.9538888888888889,0.005803830528148578,0.005824111822947,0.0,0.0,10,10,543,544,0,0,0,False,False,False
2,eve_channel_correlation,eve_channel_correlation=1.0,2000,16,0.25,4,1.5,0.0,0.0,1.0,1.0,0.01,0.001,0.05,alice,8.071292567062992,9.864380162243073,0.0,0.0,0.8175788936826691,0.036638423435963914,0.9757349618989957,0.9741135949012548,0.035438771976840824,0.037838074895087004,0.0,0,0,0,0,0,0.9572222222222222,0.9538888888888889,0.005803830528148578,0.005824111822947,0.0,0.0,10,10,543,544,0,0,0,False,False,False
2,directional_phase_error_std_rad,directional_phase_error_std_rad=0.0,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.0,0.01,0.001,0.05,alice,8.071292567062992,0.0016995845268690918,8.069592982536122,6.9964895819388815,0.0007047583046277395,0.7211427914398454,0.6005039175435323,0.6127917817337029,0.7357544371293241,0.7065311457503667,0.2625,1139,1085,500,445,945,0.9572222222222222,0.9538888888888889,0.005803830528148578,0.005824111822947,0.0,0.0,10,10,543,544,128,128,256,True,True,True
2,directional_phase_error_std_rad,directional_phase_error_std_rad=0.1,2000,16,0.25,4,1.5,0.0,0.1,1.0,0.0,0.01,0.001,0.05,alice,5.937193686179335,0.0017061442995805827,5.9354875418797555,4.969089085326697,0.0,0.7258532995612206,0.5993219727204064,0.6100038392591072,0.7385968270132982,0.7131097721091431,0.19361111111111112,1147,1100,393,304,697,0.9594444444444444,0.9572222222222222,0.02605674580196873,0.03424260011607661,0.0,0.0,45,59,658,700,128,128,256,True,True,True
2,directional_phase_error_std_rad,directional_phase_error_std_rad=0.2,2000,16,0.25,4,1.5,0.0,0.2,1.0,0.0,0.01,0.001,0.05,alice,4.24619806674192,0.0017381816682899526,4.244459885073631,3.362611209492444,0.0,0.7328075779032296,0.5992512565383493,0.6042225405936192,0.7387670658986535,0.7268480899078057,0.045,1156,1118,152,10,162,0.9661111111111111,0.9527777777777777,0.06325474410580793,0.07813411078717201,0.0,0.0,110,134,908,1012,128,10,138,True,True,True
2,directional_phase_error_std_rad,directional_phase_error_std_rad=0.5,2000,16,0.25,4,1.5,0.0,0.5,1.0,0.0,0.01,0.001,0.05,alice,1.849515873469004,0.0019497858523867214,1.8475660876166171,1.0855515216990763,0.0,0.7357176434394435,0.6016176886559492,0.5994227822577574,0.7330811093860129,0.7383541774928739,0.0,1134,1144,0,0,0,0.9566666666666667,0.9577777777777777,0.17073170731707318,0.18967517401392112,0.0313588850174216,0.04176334106728538,240,255,1521,1585,0,0,0,False,False,False
2,guard_band_sigma,guard_band_sigma=0.0,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.0,0.01,0.001,0.0,alice,8.071292567062992,0.0016995845268690918,8.069592982536122,6.9964895819388815,0.000983894826046272,0.7282005200401949,0.5973649735682592,0.6100140627930603,0.7433154470291279,0.713085593051262,0.24138888888888888,1209,1155,457,412,869,1.0,1.0,0.021111111111111112,0.018333333333333333,0.0,0.0,38,33,656,647,128,128,256,True,True,True
2,guard_band_sigma,guard_band_sigma=0.05,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.0,0.01,0.001,0.05,alice,8.071292567062992,0.0016995845268690918,8.069592982536122,6.9964895819388815,0.0007047583046277395,0.7211427914398454,0.6005039175435323,0.6127917817337029,0.7357544371293241,0.7065311457503667,0.2625,1139,1085,500,445,945,0.9572222222222222,0.9538888888888889,0.005803830528148578,0.005824111822947,0.0,0.0,10,10,543,544,128,128,256,True,True,True
2,guard_band_sigma,guard_band_sigma=0.1,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.0,0.01,0.001,0.1,alice,8.071292567062992,0.0016995845268690918,8.069592982536122,6.9964895819388815,0.0,0.7193986889202203,0.6020214312617933,0.612726804745569,0.732113248725032,0.7066841291154086,0.25583333333333336,1077,1026,487,434,921,0.915,0.9077777777777778,0.0006071645415907711,0.0012239902080783353,0.0,0.0,1,2,494,496,128,128,256,True,True,True
2,guard_band_sigma,guard_band_sigma=0.15,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.0,0.01,0.001,0.15,alice,8.071292567062992,0.0016995845268690918,8.069592982536122,6.9964895819388815,0.0007042664196342252,0.7143812943724814,0.6024562599579597,0.6165582065942565,0.731071593515606,0.6976909952293568,0.2386111111111111,1030,961,462,397,859,0.88,0.8677777777777778,0.0,0.0,0.0,0.0,0,0,472,468,128,128,256,True,True,True
2,guard_band_sigma,guard_band_sigma=0.25,2000,16,0.25,4,1.5,0.0,0.0,1.0,0.0,0.01,0.001,0.25,alice,8.071292567062992,0.0016995845268690918,8.069592982536122,6.9964895819388815,0.0,0.7112128390154884,0.6037579444158933,0.6179372075244705,0.7279578274292113,0.6944678506017654,0.20222222222222222,915,864,389,339,728,0.7966666666666666,0.7938888888888889,0.0,0.0,0.0,0.0,0,0,430,429,128,128,256,True,True,True
