sweep_name,scenario,num_repetitions,active_fraction,active_count,active_gain,directional_gain_error_std_db,directional_phase_error_std_rad,eve_channel_scale,eve_channel_correlation,legitimate_receiver_noise_variance,eve_receiver_noise_variance,guard_band_sigma,selection_policy,legitimate_mi_mean,legitimate_mi_std,legitimate_mi_ci95,eve_leakage_mean,eve_leakage_std,eve_leakage_ci95,asymptotic_secret_rate_mean,asymptotic_secret_rate_std,asymptotic_secret_rate_ci95,finite_proxy_rate_mean,finite_proxy_rate_std,finite_proxy_rate_ci95,quantized_eve_mi_mean,quantized_eve_mi_std,quantized_eve_mi_ci95,quantized_min_entropy_mean,quantized_min_entropy_std,quantized_min_entropy_ci95,transmission_eve_guessing_probability_mean,transmission_eve_guessing_probability_std,transmission_eve_guessing_probability_ci95,reflection_eve_guessing_probability_mean,reflection_eve_guessing_probability_std,reflection_eve_guessing_probability_ci95,operational_bound_rate_mean,operational_bound_rate_std,operational_bound_rate_ci95,aggregate_operational_secret_bits_mean,aggregate_operational_secret_bits_std,aggregate_operational_secret_bits_ci95,aggregate_final_key_bits_mean,aggregate_final_key_bits_std,aggregate_final_key_bits_ci95,transmission_raw_kdr_mean,transmission_raw_kdr_std,transmission_raw_kdr_ci95,reflection_raw_kdr_mean,reflection_raw_kdr_std,reflection_raw_kdr_ci95,transmission_post_reconciliation_kdr_mean,reflection_post_reconciliation_kdr_mean,transmission_retention_ratio_mean,transmission_retention_ratio_std,transmission_retention_ratio_ci95,reflection_retention_ratio_mean,reflection_retention_ratio_std,reflection_retention_ratio_ci95,transmission_parity_leakage_bits_mean,reflection_parity_leakage_bits_mean,transmission_success_rate,reflection_success_rate,dual_side_success_rate
eve_channel_correlation,eve_channel_correlation=0.0,3,0.25,4,1.5,0.0,0.0,1.0,0.0,0.01,0.001,0.05,alice,8.069776321635524,0.010101818682233633,0.025096334125823704,0.0021595150276589145,0.0014237478086213619,0.0035370710799741347,8.067616806607866,0.011510943639003984,0.02859707709622973,6.994589218281998,0.011005946801421737,0.02734249415754189,0.00023491943487591316,0.0004068923968904497,0.0010108583282710545,0.7263708878056766,0.01599413622425561,0.03973484373104053,0.6046458152844759,0.008086021469082084,0.02008841208896037,0.6042822902766051,0.009251182211940429,0.022983065441281324,0.27,0.01647341667020302,0.04092553845540974,972.0,59.30430001273095,147.3319384394753,256.0,0.0,0.0,0.004063834881804844,0.0015323795013892521,0.003806948944952205,0.005825245794177962,5.184862956561967e-06,1.2880953147905241e-05,0.0,0.0,0.9566666666666667,0.0036430214023900113,0.009050497263695797,0.9537037037037037,0.0008486251286955496,0.002108271831761343,533.6666666666666,542.6666666666666,1.0,1.0,1.0
eve_channel_correlation,eve_channel_correlation=0.25,3,0.25,4,1.5,0.0,0.0,1.0,0.25,0.01,0.001,0.05,alice,8.069776321635524,0.010101818682233633,0.025096334125823704,0.4301256922679748,0.023694104638688446,0.05886416946589598,7.639650629367549,0.032745019077577,0.08134970202668879,6.566623041041683,0.032277666740644514,0.08018864075929838,0.14592808929897186,0.006164300941415191,0.01531420835635895,0.3913295032429165,0.007458337225288514,0.018529032139341702,0.7609740512873654,0.004949844310701776,0.012297087346326447,0.763897272198263,0.003195075920767121,0.00793764918845442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004063834881804844,0.0015323795013892521,0.003806948944952205,0.005825245794177962,5.184862956561967e-06,1.2880953147905241e-05,0.0,0.0,0.9566666666666667,0.0036430214023900113,0.009050497263695797,0.9537037037037037,0.0008486251286955496,0.002108271831761343,533.6666666666666,542.6666666666666,0.0,0.0,0.0
eve_channel_correlation,eve_channel_correlation=0.5,3,0.25,4,1.5,0.0,0.0,1.0,0.5,0.01,0.001,0.05,alice,8.069776321635524,0.010101818682233633,0.025096334125823704,1.0158047676059685,0.025881121346078246,0.06429745863430514,7.053971554029556,0.03429678878468606,0.08520482280057795,5.98094396570369,0.03385410812321212,0.08410505431919256,0.3100635227744332,0.006734437932981591,0.01673062146848566,0.2497972160405466,0.00419315763207922,0.010417221718895434,0.8389092423483296,0.005417047090714574,0.013457777063746948,0.8431382982318167,0.0018086177341691684,0.004493218141246963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004063834881804844,0.0015323795013892521,0.003806948944952205,0.005825245794177962,5.184862956561967e-06,1.2880953147905241e-05,0.0,0.0,0.9566666666666667,0.0036430214023900113,0.009050497263695797,0.9537037037037037,0.0008486251286955496,0.002108271831761343,533.6666666666666,542.6666666666666,0.0,0.0,0.0
eve_channel_correlation,eve_channel_correlation=0.75,3,0.25,4,1.5,0.0,0.0,1.0,0.75,0.01,0.001,0.05,alice,8.069776321635524,0.010101818682233633,0.025096334125823704,2.0101741083663236,0.02167212410041839,0.05384088595818626,6.059602213269201,0.02888030028269194,0.07174843346013196,4.9865746249433345,0.028478149258089294,0.07074935430419539,0.5187966276823394,0.0055492560289089774,0.013786228780385112,0.13904183323246674,0.0022825661032453283,0.005670666183315219,0.9057191048796986,0.003672200710306734,0.009122988533245733,0.9105409201597511,0.003507646936562648,0.008714181305809567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004063834881804844,0.0015323795013892521,0.003806948944952205,0.005825245794177962,5.184862956561967e-06,1.2880953147905241e-05,0.0,0.0,0.9566666666666667,0.0036430214023900113,0.009050497263695797,0.9537037037037037,0.0008486251286955496,0.002108271831761343,533.6666666666666,542.6666666666666,0.0,0.0,0.0
eve_channel_correlation,eve_channel_correlation=1.0,3,0.25,4,1.5,0.0,0.0,1.0,1.0,0.01,0.001,0.05,alice,8.069776321635524,0.010101818682233633,0.025096334125823704,9.848281738689247,0.03339805316837988,0.08297205956980783,0.0,0.0,0.0,0.0,0.0,0.0,0.8143624363246239,0.00325728052047989,0.008092186452254289,0.03973755934313745,0.003205765126802058,0.007964204791423651,0.9730256959803222,0.0028926631989276063,0.007186353708905571,0.9726417178386164,0.0014399440079530537,0.0035773079168034713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004063834881804844,0.0015323795013892521,0.003806948944952205,0.005825245794177962,5.184862956561967e-06,1.2880953147905241e-05,0.0,0.0,0.9566666666666667,0.0036430214023900113,0.009050497263695797,0.9537037037037037,0.0008486251286955496,0.002108271831761343,533.6666666666666,542.6666666666666,0.0,0.0,0.0
directional_phase_error_std_rad,directional_phase_error_std_rad=0.0,3,0.25,4,1.5,0.0,0.0,1.0,0.0,0.01,0.001,0.05,alice,8.069776321635524,0.010101818682233633,0.025096334125823704,0.0021595150276589145,0.0014237478086213619,0.0035370710799741347,8.067616806607866,0.011510943639003984,0.02859707709622973,6.994589218281998,0.011005946801421737,0.02734249415754189,0.00023491943487591316,0.0004068923968904497,0.0010108583282710545,0.7263708878056766,0.01599413622425561,0.03973484373104053,0.6046458152844759,0.008086021469082084,0.02008841208896037,0.6042822902766051,0.009251182211940429,0.022983065441281324,0.27,0.01647341667020302,0.04092553845540974,972.0,59.30430001273095,147.3319384394753,256.0,0.0,0.0,0.004063834881804844,0.0015323795013892521,0.003806948944952205,0.005825245794177962,5.184862956561967e-06,1.2880953147905241e-05,0.0,0.0,0.9566666666666667,0.0036430214023900113,0.009050497263695797,0.9537037037037037,0.0008486251286955496,0.002108271831761343,533.6666666666666,542.6666666666666,1.0,1.0,1.0
directional_phase_error_std_rad,directional_phase_error_std_rad=0.1,3,0.25,4,1.5,0.0,0.1,1.0,0.0,0.01,0.001,0.05,alice,6.364246755063895,0.5188468961248017,1.2889911683126187,0.002151649797262019,0.0013916371042455341,0.003457297230197102,6.362095105266633,0.5195110975882651,1.2906412693863247,5.374343995269347,0.4935688285308509,1.2261918991563963,0.0003417057689678223,0.0005918517530916609,0.0014703599238685395,0.7262599087696363,0.014803010188509328,0.036775683809507784,0.6057534552946772,0.008372623049512341,0.020800427345789005,0.6032652512067165,0.008477171660174965,0.021060161453885243,0.22046296296296294,0.03373866217120767,0.08381824752963167,793.6666666666666,121.45918381634768,301.7456911066742,256.0,0.0,0.0,0.01816059955999073,0.008133129307021314,0.020205443890664285,0.025139172000295012,0.008145334954463835,0.02023576684696306,0.0,0.0,0.9590740740740741,0.00390209398253805,0.009694121173286382,0.9577777777777777,0.0009622504486493984,0.002390555555555611,614.6666666666666,648.3333333333334,1.0,1.0,1.0
directional_phase_error_std_rad,directional_phase_error_std_rad=0.2,3,0.25,4,1.5,0.0,0.2,1.0,0.0,0.01,0.001,0.05,alice,4.79759072147439,0.6708248315592612,1.6665557601344863,0.002182933592828201,0.001406900623632371,0.0034952169746032993,4.795407787881563,0.6715021617258824,1.668238477347073,3.885989479563752,0.6379609797359399,1.584910837377145,0.0,0.0,0.0,0.7294299547724945,0.016783048830334133,0.04169476946134904,0.6038358634883658,0.006993131601957227,0.017373304034573087,0.6025134577362182,0.00820377868941229,0.020380960850732606,0.1137037037037037,0.08027553501929305,0.19943157884199753,409.3333333333333,288.991926069455,717.953683831191,212.33333333333334,64.70188044665575,160.74135374397108,0.049707835248118754,0.02069027799998718,0.051401648176192104,0.05467693420125699,0.020610816374052463,0.051204238622787016,0.0,0.0,0.965,0.0014698618394803063,0.003651633928776794,0.9557407407407407,0.0025660011963983534,0.0063748148148148566,822.0,841.3333333333334,1.0,1.0,1.0
directional_phase_error_std_rad,directional_phase_error_std_rad=0.5,3,0.25,4,1.5,0.0,0.5,1.0,0.0,0.01,0.001,0.05,alice,2.4217969341281584,0.6895361469054005,1.71304099577688,0.0022384297490314797,0.0012867723906584115,0.00319677781552777,2.419558504379127,0.6902349210457609,1.7147769870727652,1.6289298854286283,0.6557581582099608,1.629125047860498,0.0002504336535291696,0.0004337638118376226,0.0010776160111360168,0.7294409369014243,0.010971295471250413,0.027256408534028054,0.6059792018142863,0.005398818523712859,0.013412491138261613,0.6003349389848812,0.004201386957416788,0.010437666146260273,0.0019444444444444446,0.003367876570272817,0.008366944444444444,7.0,12.12435565298214,30.121000000000002,7.0,12.12435565298214,30.121000000000002,0.13437675821090786,0.04724666356120976,0.11737669150089354,0.14588846929651955,0.04054784107673885,0.10073455085194952,0.012782606401652666,0.015867017561443833,0.957037037037037,0.00334872987407875,0.008319377575526372,0.9574074074074074,0.005564807111598764,0.013824862929292138,1365.0,1435.6666666666667,0.3333333333333333,0.0,0.0
guard_band_sigma,guard_band_sigma=0.0,3,0.25,4,1.5,0.0,0.0,1.0,0.0,0.01,0.001,0.0,alice,8.069776321635524,0.010101818682233633,0.025096334125823704,0.0021595150276589145,0.0014237478086213619,0.0035370710799741347,8.067616806607866,0.011510943639003984,0.02859707709622973,6.994589218281998,0.011005946801421737,0.02734249415754189,0.00032796494201542403,0.0005680519426720952,0.0014112331454923697,0.7314365504560421,0.01058328337646678,0.026292455261665643,0.6028367326596068,0.006975154532028324,0.01732864291287502,0.6018324434049055,0.007860922973467068,0.01952919129566797,0.2435185185185185,0.005722042427955697,0.014215488633415414,876.6666666666666,20.599352740640498,51.17575908029547,256.0,0.0,0.0,0.017222222222222222,0.004194352464039305,0.0104201900855864,0.02314814814814815,0.00420659877466687,0.010450614062989451,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,635.6666666666666,671.6666666666666,1.0,1.0,1.0
