environment_step,mean_return,key_rate_bits_per_sample,key_rate_bits_per_second,raw_key_disagreement_rate,observation_reciprocity,surface_power_w,robust_reward,cvar_reward,worst_sample_reward,robust_feasibility_rate,effective_active_elements,power_violation
500,-30.74354717233099,3.356021531166305,3356.021531166305,0.1279296875,0.9383140479017766,24.88301833201308,-1.9214716982706868,-1.9394020311337892,-1.9394020311337892,1.0,8.0,0.0
1000,-15.59171362635692,2.733991280341811,2733.991280341811,0.1572265625,0.9109631254453546,14.094569417810288,-0.9744821016473076,-0.9950293760241704,-0.9950293760241704,1.0,8.0,0.0
1500,-47.88109697618526,3.0571958354657367,3057.1958354657368,0.12744140625,0.9226597811191792,35.22738229295183,-2.992568561011579,-3.01057156768902,-3.01057156768902,1.0,8.0,0.0
2000,-41.422674445584484,3.519221544552769,3519.2215445527686,0.11962890625,0.9468581993521092,31.90722301169585,-2.58891715284903,-2.604628859538254,-2.604628859538254,1.0,8.0,0.0
