episode,architecture,robust_reward,mean_reward,cvar_reward,worst_reward,mean_secure_key_rate_bps,cvar_secure_key_rate_bps,worst_secure_key_rate_bps,mean_raw_kdr,cvar_raw_kdr,worst_raw_kdr,mean_post_reconciliation_kdr,cvar_post_reconciliation_kdr,worst_post_reconciliation_kdr,mean_reciprocity,mean_surface_power_watt,power_violation_probability,mean_active_elements,mean_projection_scale
0.0,partially_active_dynamic,-0.11402593520239865,-0.09784941582151502,-0.13020245458328228,-0.1636971081780842,0.0,0.0,0.0,0.32204904664239664,0.3648610018101954,0.3986791295247032,0.17485126625029043,0.2271290009132297,0.25201198166660654,0.4628763451587494,0.29400161532066577,0.0,8.0,0.9740911096865865
1.0,partially_active_dynamic,-0.09779444109767035,-0.0765138927438622,-0.1190749894514785,-0.12819837675788423,0.0,0.0,0.0,0.303638681220224,0.36209294465163055,0.37007209425004395,0.15052654523254866,0.2142340833023913,0.23362053806928082,0.5235279314207526,0.2940013841790071,0.0,8.0,0.6816089178065967
2.0,partially_active_dynamic,-0.08337881841469709,-0.06531705360765835,-0.10144058322173582,-0.11460624888259092,0.0,0.0,0.0,0.28446256179941976,0.3295715923290826,0.35728205678323677,0.13322425442241867,0.16972621461160914,0.19450404062075377,0.5315721886658993,0.2940021044112836,0.0,8.0,0.663118563071774
3.0,partially_active_dynamic,-0.07829260045565249,-0.05963751052999194,-0.09694769038131304,-0.10316252366407135,0.0,0.0,0.0,0.280908186120227,0.34105059985802866,0.38542059430828624,0.13556141411529393,0.19526107528423342,0.24133225603734626,0.5510833060236628,0.29400078674611013,0.0,8.0,0.28437706516338324
4.0,partially_active_dynamic,-0.009657914509421169,0.005826404336698894,-0.025142233355541232,-0.03517611858778137,0.0,0.0,0.0,0.20863084368203214,0.2593538908426625,0.2772561863173217,0.061355783609412906,0.10376377233052303,0.11293668122270742,0.697709744939671,0.2940012281021924,0.0,8.0,1.0
5.0,partially_active_dynamic,-0.10312480899359108,-0.08221583844568367,-0.1240337795414985,-0.15374999185025054,0.0,0.0,0.0,0.30096055446392306,0.3482702411175838,0.39809713294561777,0.1526098409200451,0.1912520806870874,0.25169200421725674,0.48832279870965745,0.29400120955653647,0.0,8.0,0.6849399916700856
6.0,partially_active_dynamic,-0.005348743956090196,0.011633136152918087,-0.02233062406509848,-0.05000534875110334,0.0,0.0,0.0,0.20951590721453042,0.24769266911172655,0.2746224739062847,0.06100545103300982,0.09198715246317067,0.11980901621141461,0.7289561688771216,0.2940014401524102,0.0,8.0,1.0
7.0,partially_active_dynamic,-0.10690471288209728,-0.092526172256876,-0.12128325350731857,-0.13518530636155174,0.0,0.0,0.0,0.31488995911252815,0.3696155135934185,0.4044593780588811,0.1680299331130923,0.20439660208130586,0.24830585046306755,0.47159432115326966,0.2940005693126585,0.0,8.0,0.17810393523213186
8.0,partially_active_dynamic,-0.0940782644525757,-0.0694957309308983,-0.11866079797425311,-0.16524628104028183,0.0,0.0,0.0,0.28995056246493,0.34929934037363625,0.39430096418732785,0.1352066318658438,0.19794253025895503,0.24504132231404957,0.5243985166501426,0.2940015302846181,0.0,8.0,0.6120055364243262
9.0,partially_active_dynamic,-0.12638443097349714,-0.1043846809655267,-0.14838418098146758,-0.17290238903437394,0.0,0.0,0.0,0.3305528118671231,0.36775278788233723,0.4063131581746623,0.1778218137210098,0.20175940244611934,0.23582597596000426,0.45145937906988676,0.294001508459425,0.0,8.0,0.5196709642544022
