update_index,actor_loss
2,-0.07445966452360153
4,-0.15630042552947998
6,-0.24971625208854675
8,-0.36610519886016846
10,-0.5050665140151978
12,-0.6643050909042358
14,-0.8338569402694702
16,-0.9103682637214661
18,-0.9514983892440796
20,-0.9352680444717407
22,-0.8701663017272949
24,-0.8201337456703186
26,-0.7808001637458801
28,-0.7892007827758789
30,-0.7977434396743774
32,-0.8147962093353271
34,-0.8604310750961304
36,-0.9179422855377197
38,-0.9837483763694763
40,-1.0172401666641235
42,-1.0413448810577393
44,-1.0285327434539795
46,-1.0021429061889648
48,-0.9577528238296509
50,-0.908732533454895
52,-0.8686049580574036
54,-0.8673151135444641
56,-0.8607656955718994
58,-0.865547239780426
60,-0.8941856026649475
62,-0.9146304726600647
64,-0.9091097712516785
66,-0.9099501967430115
68,-0.8970489501953125
70,-0.9235934019088745
72,-0.9278897643089294
74,-0.932365894317627
76,-0.9543048143386841
78,-0.9635351896286011
80,-0.9662039279937744
82,-0.9515544176101685
84,-0.934897243976593
86,-0.928230345249176
88,-0.9201147556304932
90,-0.925006091594696
92,-0.9220951795578003
94,-0.954137921333313
96,-0.9777419567108154
98,-0.9711460471153259
100,-0.9617471098899841
102,-0.9418123960494995
104,-0.9337695837020874
106,-0.9589742422103882
108,-0.9986685514450073
110,-0.9973729252815247
112,-1.0018010139465332
114,-0.9851451516151428
116,-0.9657151699066162
118,-0.9745829701423645
120,-0.9749176502227783
122,-0.9898461699485779
124,-0.9811185002326965
126,-0.9939562678337097
128,-0.9743058681488037
130,-0.9629374146461487
132,-0.9665713906288147
134,-0.9487534165382385
136,-0.970008373260498
138,-0.9249546527862549
140,-0.926144003868103
142,-0.9534088969230652
144,-0.945711612701416
146,-0.944240391254425
148,-0.953832745552063
150,-0.9439367055892944
152,-0.9354161024093628
154,-0.9212032556533813
156,-0.9319155216217041
158,-0.9769960641860962
160,-1.02614426612854
162,-0.9987727403640747
164,-0.9813252091407776
166,-0.9210885763168335
168,-0.9351751208305359
170,-0.9758657813072205
172,-1.0079208612442017
174,-1.0019078254699707
176,-0.9114122986793518
178,-0.9214102625846863
180,-0.948960542678833
182,-1.0065515041351318
184,-0.9970934987068176
186,-0.9458800554275513
188,-0.8981258273124695
190,-0.9417256712913513
192,-0.9957210421562195
194,-1.052699089050293
196,-1.0008280277252197
198,-0.9364513158798218
200,-0.9492191672325134
202,-1.0266187191009521
204,-1.0645408630371094
206,-1.0614107847213745
208,-1.0276830196380615
210,-1.022735834121704
212,-1.0016517639160156
214,-1.0299032926559448
216,-1.0354416370391846
218,-1.0499449968338013
220,-1.0185786485671997
222,-0.9767534732818604
224,-1.0429399013519287
