environment_step,mean_return,key_rate_bits_per_sample,key_rate_bits_per_second,raw_key_disagreement_rate,observation_reciprocity,surface_power_w,robust_reward,cvar_reward,worst_sample_reward,robust_feasibility_rate,effective_active_elements,power_violation
500,10.02639730889312,3.6907130749883956,3690.7130749883954,0.109375,0.952595227621893,0.15200000000000002,0.6266498318058199,0.6114189213097861,0.6114189213097861,1.0,0.0,0.0
1000,10.26754841376316,3.864074614561291,3864.074614561291,0.11181640625,0.9584791562706929,0.15200000000000002,0.6417217758601974,0.6268142270914756,0.6268142270914756,1.0,0.0,0.0
1500,10.026669620613866,3.8280464131409313,3828.0464131409312,0.119140625,0.9577257669257342,0.15200000000000002,0.6266668512883665,0.6081862747769602,0.6081862747769602,1.0,0.0,0.0
2000,9.87754932741467,3.678587815648272,3678.5878156482713,0.11376953125,0.9518630985552143,0.15200000000000002,0.6173468329634169,0.6010512683424343,0.6010512683424343,1.0,0.0,0.0
