method,episodes,mean_return,std_return,mean_training_key_rate_bps,mean_final_key_rate_bps,mean_raw_kdr,mean_post_reconciliation_kdr,mean_reciprocity,mean_surface_dc_power,mean_feasibility_rate,delay_seconds
delay_0_s,1,0.973100899209798,0.0,15.46371255978797,15.46371255978797,0.0016304347826086956,0.0,0.9986284949375299,0.29400000000000004,1.0,0.0
delay_0.005_s,1,-3.3129925537686917,0.0,0.0,0.0,0.45339475356580017,0.30794625118344904,0.4363308956813994,0.29400000000000004,0.625,0.005
