environment_step,mean_return,key_rate_bits_per_sample,key_rate_bits_per_second,raw_key_disagreement_rate,observation_reciprocity,surface_power_w,robust_reward,cvar_reward,worst_sample_reward,robust_feasibility_rate,effective_active_elements,power_violation
500,10.114508139633866,3.8142662322736323,3814.266232273632,0.11279296875,0.9547223184680147,0.15200000000000002,0.6321567587271166,0.6180018449613705,0.6180018449613705,1.0,0.0,0.0
1000,9.834689458691102,3.751399392527857,3751.399392527857,0.12060546875,0.9530484717111593,0.15200000000000002,0.6146680911681939,0.5952532376083653,0.5952532376083653,1.0,0.0,0.0
1500,9.806848784579053,3.821608750155839,3821.608750155839,0.1259765625,0.9589192717905616,0.15200000000000002,0.6129280490361909,0.5944673859108647,0.5944673859108647,1.0,0.0,0.0
2000,9.735320480068491,3.766073858365947,3766.073858365947,0.12451171875,0.9558083704339595,0.15200000000000002,0.6084575300042807,0.5902881335535746,0.5902881335535746,1.0,0.0,0.0
