episode,architecture,robust_reward,mean_reward,cvar_reward,worst_reward,mean_secure_key_rate_bps,cvar_secure_key_rate_bps,worst_secure_key_rate_bps,mean_raw_kdr,cvar_raw_kdr,worst_raw_kdr,mean_post_reconciliation_kdr,cvar_post_reconciliation_kdr,worst_post_reconciliation_kdr,mean_reciprocity,mean_surface_power_watt,power_violation_probability,mean_active_elements,mean_projection_scale
0.0,partially_active_fixed,-0.1995537389767774,-0.17480311015646122,-0.22430436779709356,-0.23890884364454965,0.0,0.0,0.0,0.3920138468738847,0.4524246672962329,0.4704012927551845,0.24176895731127124,0.2909328926818696,0.2966514049735165,0.2530195724224309,0.29400101204005047,0.0,8.0,0.5726840299336038
1.0,partially_active_fixed,-0.1150743373326597,-0.09648860758691545,-0.13366006707840394,-0.13960137160567607,0.0,0.0,0.0,0.32200081262738406,0.3716418251151279,0.3822350069735007,0.1675986870694951,0.22222432424119598,0.238197350069735,0.46955941774662163,0.2940008482254774,0.0,8.0,0.7852634628098407
2.0,partially_active_fixed,-0.12409254683216295,-0.10079787182113384,-0.14738722184319206,-0.18002214449330883,0.0,0.0,0.0,0.3191717216545377,0.3879085219071974,0.41115463366865485,0.16952389378441646,0.2377392637477691,0.2611946942045758,0.4409404697763867,0.29400104949142336,0.0,8.0,0.47584973077873904
3.0,partially_active_fixed,-0.1443811116584508,-0.12298059194819518,-0.16578163136870644,-0.1875116641918832,0.0,0.0,0.0,0.3570734973399506,0.40567986988954774,0.4367752007136485,0.1992752697597447,0.2514945636247864,0.2883586083853702,0.42478123289219943,0.2940008985665977,0.0,8.0,0.35981992954618214
4.0,partially_active_fixed,-0.07727565225896484,-0.051456576668848765,-0.10309472784908091,-0.11099582348279988,0.0,0.0,0.0,0.2649850980177044,0.33413920253481433,0.33357160291502497,0.1254192136991867,0.18459852117573924,0.2167090902751142,0.5521804699707207,0.2940012165414066,0.0,8.0,0.615028283249794
5.0,partially_active_fixed,-0.014584275756352676,0.001175180296130951,-0.030343731808836302,-0.03992400393020373,0.0,0.0,0.0,0.21455581978620525,0.2561881495052446,0.28570167540561053,0.06806849964670389,0.09874130949695739,0.12176261850537579,0.6892662523444941,0.2940016027966527,0.0,8.0,0.8092965702182475
6.0,partially_active_fixed,-0.0924816558476812,-0.07548573801453476,-0.10947757368082764,-0.1321112055173296,0.0,0.0,0.0,0.29543027183448145,0.34526221442431093,0.3954582544835848,0.1395864833319937,0.18117449851601147,0.22472612371742567,0.5081477032452982,0.2940014274635371,0.0,8.0,0.7200683449073102
7.0,partially_active_fixed,-0.005241611191655228,0.01239049911924769,-0.022873721502558148,-0.036144069785735644,0.0,0.0,0.0,0.20845407292453044,0.2537428378453478,0.2699552474230586,0.06115462063412409,0.10075003792361716,0.12000660283922086,0.7300883828467556,0.2940014098783822,0.0,8.0,0.8659142798357538
8.0,partially_active_fixed,-0.10674195826469254,-0.09222162704532125,-0.12126228948406383,-0.13468924371406232,0.0,0.0,0.0,0.3181922669750037,0.3632141675235495,0.37341772151898733,0.16530745175159725,0.20724881968366704,0.24050632911392406,0.48137296779051825,0.2940008711592307,0.0,8.0,0.4565524480243113
9.0,partially_active_fixed,-0.1037424281440344,-0.06996364548338121,-0.13752121080468757,-0.1687729590970898,0.0,0.0,0.0,0.29088967875596017,0.3719857945184907,0.4066239316239316,0.14351059533365035,0.21878772634467325,0.2567307692307692,0.5244068054233969,0.294001671900805,0.0,8.0,0.6384391041151405
