step,reward,mean_secure_key_rate_bps,mean_raw_kdr,mean_reciprocity,mean_active_elements,mean_projection_scale,mean_surface_power_watt,power_violation_probability,critic_loss,actor_loss
0.0,-0.0332862439610622,600.3665959578423,0.2847735879031569,0.6100671708187761,8.0,0.9894704038768269,0.2940017520055105,0.0,nan,nan
100.0,0.08021576763567972,1983.9530964618273,0.24382755238617804,0.7611172794600163,8.0,1.0,0.29400127131312825,0.0,nan,nan
200.0,0.049448712156368806,1306.4313447408733,0.2342482396599745,0.7193781362859121,8.0,0.8743234561251114,0.29400150819873233,0.0,nan,nan
300.0,0.028828192589141176,2011.6288729823598,0.28441806441533335,0.5896908498598317,8.0,1.0,0.29400112740090206,0.0,0.00043455269769765437,0.02065225876867771
400.0,0.07031777350255339,1695.6624682603886,0.2564005667830869,0.7624174953619796,8.0,0.9358510627672993,0.29400123701942504,0.0,0.0002752450527623296,-0.2403341680765152
500.0,0.06886283887516233,1387.542132275558,0.19750582415028234,0.7172881705656771,8.0,0.7931954487476771,0.29400133097667897,0.0,0.00029479124350473285,-0.3502838909626007
600.0,0.09430213710105574,1853.6788294177818,0.2050776256188565,0.6943089443888043,8.0,1.0,0.29400066520842366,0.0,0.00020830203720834106,-0.39068180322647095
700.0,0.09064314008483812,1494.7485791686001,0.19846068779771558,0.7595113639495328,8.0,0.7200754748346245,0.29400149476919674,0.0,0.0003419207641854882,-0.4382152259349823
800.0,-0.02708330068693955,454.1459313188411,0.2553110247964726,0.6650856893424375,8.0,0.8309080346695774,0.29400159639268625,0.0,0.0003024135367013514,-0.48891037702560425
900.0,0.011020262647401705,1074.5828021806233,0.25419605260192474,0.6116349017291033,8.0,0.9326018538426393,0.2940013676175988,0.0,0.00020551377383526415,-0.5398005247116089
1000.0,0.013533514417491961,1020.4254391999481,0.2615365916459415,0.7021779969342765,8.0,1.0,0.294001360748926,0.0,0.0002782032242976129,-0.5457746386528015
1100.0,0.0688934879200735,1311.702529190026,0.19951736662841782,0.7299585712295187,8.0,0.8037155555369271,0.2940017783676652,0.0,0.00025533646112307906,-0.5686588287353516
1200.0,0.004811707669309641,833.7296708271455,0.23211515483170952,0.6633619832195131,8.0,0.7138422034907865,0.2940018850630701,0.0,0.0008972202776931226,-0.6195474863052368
1300.0,-0.014260182981416382,966.5800712789592,0.27574150060430924,0.6163446842379652,8.0,0.8808414225185217,0.2940019091727108,0.0,0.00025580261717550457,-0.7016516923904419
1400.0,0.07463053048328895,1189.2538737683774,0.20349217788061516,0.7633946285604679,8.0,0.8837802810790736,0.2940014407303717,0.0,0.0003333460772410035,-0.8597382307052612
1500.0,0.02487623574132068,873.9316500569598,0.23036064301638456,0.6889368798239986,8.0,1.0,0.2940012801567515,0.0,0.00047736032865941525,-0.9193679094314575
1600.0,0.12118936803746742,2551.4612714168006,0.20654088606118864,0.7205018423254246,8.0,1.0,0.2940015812521786,0.0,0.00035375720472075045,-1.072432041168213
1700.0,0.10377731289063419,2005.13337419009,0.2088795703196521,0.7556187623596758,8.0,0.960513521166412,0.29400193840746053,0.0,0.0008471737382933497,-1.1938724517822266
1800.0,0.07623911956996703,1312.5402544901258,0.1681812494228694,0.7145902537635209,8.0,1.0,0.294001250612634,0.0,0.0006619449704885483,-1.2940505743026733
1900.0,-0.036316997797035996,288.6799197543548,0.2540688557652627,0.6392416426196585,8.0,0.9938677820382873,0.29400156043878184,0.0,0.006681080907583237,-1.4504505395889282
2000.0,0.023110205429571727,494.2536866780323,0.2083537304829467,0.737861832028011,8.0,0.7378820493849165,0.2940016604885187,0.0,0.0005612164968624711,-1.4603251218795776
2100.0,0.028979952327690874,962.0540385872943,0.2211409883004782,0.700878534436532,8.0,0.9618780491996555,0.294002069073594,0.0,0.0006689690053462982,-0.9027431011199951
2200.0,-0.011538849710000555,717.855929531577,0.2630322780574731,0.649418957471354,8.0,0.6782803626192768,0.29400163978833105,0.0,0.004557754844427109,-0.812267541885376
2300.0,0.0486796295053575,985.4702668804001,0.20875142064291013,0.688010623457016,8.0,1.0,0.29400161773635364,0.0,0.0008415940101258457,-0.813541054725647
2400.0,0.060778408304425616,1037.292388299206,0.18876191927385966,0.7366235038386317,8.0,0.6990959381556809,0.29400161538277136,0.0,0.0014971682103350759,-0.8493309617042542
2500.0,-0.03186705853644712,411.1461301570149,0.2955353075261179,0.6773283157256644,8.0,0.6221224164065982,0.2940016411369769,0.0,0.002752471249550581,-0.8018863201141357
2600.0,0.03052290838992436,1080.8777806310006,0.2477173519107732,0.7052385981619538,8.0,0.7842708900118387,0.29400153798847145,0.0,0.002852772828191519,-0.8390181064605713
2700.0,0.07735175942548075,1970.336082387722,0.22211833303303058,0.7028643481035965,8.0,0.7018239735211669,0.29400176989774146,0.0,0.0016175896162167192,-0.765485942363739
2800.0,0.11301265589506922,2027.8272011838842,0.17822571609120336,0.7522080763438752,8.0,0.6110035681024897,0.2940016313981331,0.0,0.0022977376356720924,-0.924822211265564
2900.0,0.07127340480493309,1592.964269521172,0.20788826234564628,0.7178066366494142,8.0,0.8057308608116811,0.2940020327342295,0.0,0.0013313197996467352,-0.8143106698989868
3000.0,0.10516252148811471,1860.509008778811,0.218217073953647,0.7278016011524193,8.0,0.5820350855809107,0.29400172670378394,0.0,0.001199999824166298,-0.7710824012756348
3100.0,0.07211676915822189,1643.7479876742,0.21180129917335042,0.7342002810798403,8.0,0.7584155293285368,0.29400191529390596,0.0,0.0015672845765948296,-0.7797297239303589
3200.0,0.052036697680544766,2052.7786355991193,0.280382289714715,0.6525026891674158,8.0,0.7103033694684378,0.2940019093424306,0.0,0.0015156829031184316,-0.9061936140060425
3300.0,0.025215157550351884,1592.5638693319643,0.2826538754873904,0.6614683244747628,8.0,0.7709954685854346,0.29400193836512467,0.0,0.0014698144514113665,-0.9096859097480774
3400.0,0.0886793297172819,2043.566433067862,0.21483320179343413,0.73970498640363,8.0,0.7507122139537037,0.29400175370047765,0.0,0.002243470400571823,-0.8471350073814392
3500.0,0.11212652909570092,1967.9056833202721,0.20298643362674684,0.7439622959414347,8.0,0.7835924534774072,0.29400201302596846,0.0,0.0014624323230236769,-0.965083122253418
3600.0,0.009052081434894145,905.8764669090906,0.255983269378763,0.6854591966136891,8.0,0.8717740083374226,0.2940016019058568,0.0,0.002819368615746498,-0.9491026401519775
3700.0,-0.029935937728107015,405.11632233396375,0.24881720778071054,0.6241541843476739,8.0,0.668218846043616,0.2940017559332436,0.0,0.0019192462787032127,-0.9624713659286499
3800.0,0.025678891309186807,1288.9756810205513,0.23482410034599105,0.639330932216525,8.0,0.5472569179310538,0.29400167850128095,0.0,0.0019058117177337408,-0.906004786491394
3900.0,0.04488724697249802,1555.299203131316,0.2492651186211703,0.7209116184852892,8.0,0.8553249954041391,0.29400160604387676,0.0,0.0018039995338767767,-0.9343288540840149
