architecture,robust_reward_mean,robust_reward_std,robust_reward_ci95_half_width,mean_reward_mean,mean_reward_std,mean_reward_ci95_half_width,cvar_reward_mean,cvar_reward_std,cvar_reward_ci95_half_width,worst_reward_mean,worst_reward_std,worst_reward_ci95_half_width,mean_secure_key_rate_bps_mean,mean_secure_key_rate_bps_std,mean_secure_key_rate_bps_ci95_half_width,cvar_secure_key_rate_bps_mean,cvar_secure_key_rate_bps_std,cvar_secure_key_rate_bps_ci95_half_width,worst_secure_key_rate_bps_mean,worst_secure_key_rate_bps_std,worst_secure_key_rate_bps_ci95_half_width,mean_raw_kdr_mean,mean_raw_kdr_std,mean_raw_kdr_ci95_half_width,cvar_raw_kdr_mean,cvar_raw_kdr_std,cvar_raw_kdr_ci95_half_width,worst_raw_kdr_mean,worst_raw_kdr_std,worst_raw_kdr_ci95_half_width,mean_reciprocity_mean,mean_reciprocity_std,mean_reciprocity_ci95_half_width,mean_surface_power_watt_mean,mean_surface_power_watt_std,mean_surface_power_watt_ci95_half_width,power_violation_probability_mean,power_violation_probability_std,power_violation_probability_ci95_half_width,mean_active_elements_mean,mean_active_elements_std,mean_active_elements_ci95_half_width,mean_projection_scale_mean,mean_projection_scale_std,mean_projection_scale_ci95_half_width,seed
passive,-12.715956540217313,0.0,0.0,-12.278451900247955,0.0,0.0,-13.15346118018667,0.0,0.0,-13.15346118018667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3539303438496987,0.0,0.0,0.35302197802197804,0.0,0.0,0.35302197802197804,0.0,0.0,0.4329991836237487,0.0,0.0,0.18200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
partially_active_fixed,-9.244592126288591,0.0,0.0,-8.928264822383344,0.0,0.0,-9.56091943019384,0.0,0.0,-9.56091943019384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3214549731182796,0.0,0.0,0.3321572580645161,0.0,0.0,0.3321572580645161,0.0,0.0,0.42893787426215724,0.0,0.0,0.29400179493840745,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
