architecture,robust_reward_mean,robust_reward_std,robust_reward_ci95_half_width,mean_reward_mean,mean_reward_std,mean_reward_ci95_half_width,cvar_reward_mean,cvar_reward_std,cvar_reward_ci95_half_width,worst_reward_mean,worst_reward_std,worst_reward_ci95_half_width,mean_secure_key_rate_bps_mean,mean_secure_key_rate_bps_std,mean_secure_key_rate_bps_ci95_half_width,cvar_secure_key_rate_bps_mean,cvar_secure_key_rate_bps_std,cvar_secure_key_rate_bps_ci95_half_width,worst_secure_key_rate_bps_mean,worst_secure_key_rate_bps_std,worst_secure_key_rate_bps_ci95_half_width,mean_raw_kdr_mean,mean_raw_kdr_std,mean_raw_kdr_ci95_half_width,cvar_raw_kdr_mean,cvar_raw_kdr_std,cvar_raw_kdr_ci95_half_width,worst_raw_kdr_mean,worst_raw_kdr_std,worst_raw_kdr_ci95_half_width,mean_post_reconciliation_kdr_mean,mean_post_reconciliation_kdr_std,mean_post_reconciliation_kdr_ci95_half_width,cvar_post_reconciliation_kdr_mean,cvar_post_reconciliation_kdr_std,cvar_post_reconciliation_kdr_ci95_half_width,worst_post_reconciliation_kdr_mean,worst_post_reconciliation_kdr_std,worst_post_reconciliation_kdr_ci95_half_width,mean_reciprocity_mean,mean_reciprocity_std,mean_reciprocity_ci95_half_width,mean_surface_power_watt_mean,mean_surface_power_watt_std,mean_surface_power_watt_ci95_half_width,power_violation_probability_mean,power_violation_probability_std,power_violation_probability_ci95_half_width,mean_active_elements_mean,mean_active_elements_std,mean_active_elements_ci95_half_width,mean_projection_scale_mean,mean_projection_scale_std,mean_projection_scale_ci95_half_width,seed
passive,-0.0955752339436228,0.07577586391441643,0.04696636704075759,-0.07311342003508459,0.07623410506527373,0.04725038784860546,-0.118037047852161,0.0755394544867983,0.04681983895944203,-0.1334572855727497,0.07287102200668191,0.045165927373212233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3130587675730704,0.07526563544411163,0.04665012415848514,0.3713689245108303,0.07169787692454999,0.04443880451808124,0.3868973952766345,0.06500914360240893,0.04029308465403287,0.16326302307519408,0.07237562704994854,0.04485887839790319,0.21712977058822897,0.06966317766804418,0.04317768485329537,0.23398514518687707,0.06050830789931954,0.037503437783623174,0.5080798187572528,0.19376437630727625,0.12009640467245994,0.182,2.925694557147251e-17,1.8133642735544223e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
passive,-0.09850549923614066,0.06864977598834633,0.0425495719847682,-0.07725024627295504,0.06906544698983767,0.04280720754067939,-0.11976075219932629,0.06836203664038672,0.04237122928921539,-0.14107520761255837,0.07045073808929704,0.04366581985962288,0.9876738305941848,3.123298890020919,1.935840707964602,0.0,0.0,0.0,0.0,0.0,0.0,0.3172960870166258,0.07007042019039784,0.043430096383714464,0.37203202599166085,0.06220424641601194,0.03855459136655685,0.39996798897979646,0.06398838669387677,0.03966041296744336,0.1680077106257049,0.06417310288201172,0.03977490124698465,0.21615818812685386,0.0605016644667862,0.037499320141478915,0.2451390838531263,0.06571957594026838,0.0407334151790034,0.4974951492614922,0.17105144904425743,0.10601878650620869,0.182,2.925694557147251e-17,1.8133642735544223e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
partially_active_fixed,-0.09831693162634318,0.0573172154960595,0.035525578220824174,-0.07706320893094129,0.05544141612161629,0.034362945723299294,-0.11957065432174503,0.05970950898936848,0.037008337089833775,-0.13686813294626388,0.06333770554978,0.039257116616052835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2982767086789643,0.057627223945079735,0.035717723448213,0.35421872505598634,0.06174914668762013,0.03827251763252539,0.37652945674811866,0.06359569543622813,0.039417020404327846,0.14812136723221836,0.054874155383657086,0.03401135387530805,0.19936919574362869,0.06140546574402294,0.03805950197677345,0.22648435913150272,0.0611083758074314,0.03787536372634277,0.5073763274458822,0.13458659864600128,0.08341763807423434,0.29400120080635633,3.094289833874117e-07,1.9178607086862642e-07,0.0,0.0,0.0,8.0,0.0,0.0,0.6298916183418923,0.16681522051452924,0.1033931448609949,0.0
partially_active_fixed,-0.0883243039689203,0.04035759762037478,0.025013898157103236,-0.06646823434740809,0.03855139012792971,0.02389439915491763,-0.1101803735904325,0.04292921701220592,0.026607804369538947,-0.1358892363207475,0.04597857970969183,0.028497818950597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2892713780605088,0.0419929274738386,0.02602748610137579,0.3494246833674408,0.04847392141897159,0.030044447765578387,0.3787477879520155,0.05647142427936047,0.03500135139355632,0.1402835113926468,0.03724371211919044,0.023083891927986617,0.1987080586899645,0.045512936588450986,0.028209210353974445,0.22589679570055185,0.055582069162887375,0.03445012338146757,0.5378378305387708,0.09016402525668273,0.055884241832732794,0.2940011142490787,3.0512810142781853e-07,1.8912035661241724e-07,0.0,0.0,0.0,8.0,0.0,0.0,0.7531183596221374,0.20967296383859707,0.12995664937966522,1.0
partially_active_dynamic,-0.09701029044526235,0.0476047989045766,0.029505760050179138,-0.07431586396360104,0.049365684272840236,0.03059716810876592,-0.11970471692692367,0.046068376407282896,0.028553475520383828,-0.14396980461835884,0.045332140327344644,0.02809715167037689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29491349689611945,0.052928281977831,0.03280528904315917,0.35331802042660987,0.0428689952095171,0.02657047850952455,0.38258513087974977,0.04196101385042436,0.02600770583265373,0.14775095684155207,0.0506839038995996,0.03141420909823766,0.2029836945247847,0.04222233684186473,0.026169675500806094,0.2339041766246479,0.04147916084567025,0.025709050246139616,0.5127050659735324,0.11659630300186864,0.07226713731124237,0.2940012871024784,4.0513745139101344e-07,2.5110679391894545e-07,0.0,0.0,0.0,8.0,0.0,0.0,0.6107738494578948,0.2433451104733513,0.15082686208597268,0.0
partially_active_dynamic,-0.08189906709376912,0.04160906127580156,0.025789563366876714,-0.06304807548123952,0.04043769916073688,0.025063545606183138,-0.10075005870629872,0.04299596938878253,0.02664917792118437,-0.12219296931079733,0.04778544515166529,0.029617725754125253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28455591145873343,0.04283418147239376,0.02654890073170282,0.33395605815703017,0.044318718755413725,0.027469026472515916,0.36665031684563654,0.05021531649606526,0.031123775616543205,0.13501929342829655,0.042119089172900546,0.026105681932588238,0.1797451914378625,0.04571208232970571,0.02833264216319719,0.21350796667824876,0.05382879367187471,0.03336343197366695,0.5431500700668812,0.0956402639037046,0.05927844971123748,0.29400133765249076,4.3027452951347155e-07,2.6668691635430255e-07,0.0,0.0,0.0,8.0,0.0,0.0,0.6597916083309286,0.28407033129205855,0.17606861546205543,1.0
fully_active_fixed,-0.2890757760243582,0.5089407751195377,0.31544476052782144,-0.2696048877648458,0.5103190976605484,0.3162990536894905,-0.3085466642838706,0.5076252641135773,0.314629398358914,-0.3208713382220854,0.5037603353797289,0.31223389071144836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29737062632344613,0.06066464310759914,0.037600335349604684,0.3512873474821597,0.06066728429686011,0.03760197237566875,0.36556050207098245,0.05306090545221998,0.03288748992421291,0.14825191600204213,0.05554673221957256,0.03442822131708865,0.19525633503413864,0.060873125773715765,0.037729554244812905,0.2057973803910224,0.05290805157891378,0.03279275011200294,0.5040996806658976,0.12867899392175317,0.07975606673109373,0.6300006397331359,4.5581161136991143e-07,2.8251496367256275e-07,0.2,0.42163702135578396,0.26133333333333336,32.0,0.0,0.0,0.16275058255130287,0.12909965823082709,0.08001679717110859,0.0
fully_active_fixed,-0.2873385453510478,0.5122641910307366,0.31750463505054216,-0.2692280459743908,0.5132942457831339,0.31814306960046435,-0.30544904472770473,0.511270290244136,0.3168886089607795,-0.31818802188827805,0.5127248516403194,0.3177901554544444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2983857108798488,0.059547715437884445,0.036908056407684,0.34114873267910484,0.05798178207052835,0.03593748085112312,0.3570597907912327,0.0636085587895974,0.03942499319334677,0.14976888952943462,0.0562901207899714,0.03488897832661201,0.18618090457688732,0.056433894565561075,0.03497809023595041,0.19192759196945214,0.058976749039582034,0.03655416776761653,0.5085215476776392,0.1261024845068292,0.07815912965094432,0.6300005330700567,4.702299667553069e-07,2.914515529263572e-07,0.2,0.42163702135578396,0.26133333333333336,32.0,0.0,0.0,0.14220006480625774,0.1404535581277001,0.08705401723504384,1.0
