architecture,robust_reward_mean,robust_reward_std,robust_reward_ci95_half_width,mean_reward_mean,mean_reward_std,mean_reward_ci95_half_width,cvar_reward_mean,cvar_reward_std,cvar_reward_ci95_half_width,worst_reward_mean,worst_reward_std,worst_reward_ci95_half_width,mean_secure_key_rate_bps_mean,mean_secure_key_rate_bps_std,mean_secure_key_rate_bps_ci95_half_width,cvar_secure_key_rate_bps_mean,cvar_secure_key_rate_bps_std,cvar_secure_key_rate_bps_ci95_half_width,worst_secure_key_rate_bps_mean,worst_secure_key_rate_bps_std,worst_secure_key_rate_bps_ci95_half_width,mean_raw_kdr_mean,mean_raw_kdr_std,mean_raw_kdr_ci95_half_width,cvar_raw_kdr_mean,cvar_raw_kdr_std,cvar_raw_kdr_ci95_half_width,worst_raw_kdr_mean,worst_raw_kdr_std,worst_raw_kdr_ci95_half_width,mean_post_reconciliation_kdr_mean,mean_post_reconciliation_kdr_std,mean_post_reconciliation_kdr_ci95_half_width,cvar_post_reconciliation_kdr_mean,cvar_post_reconciliation_kdr_std,cvar_post_reconciliation_kdr_ci95_half_width,worst_post_reconciliation_kdr_mean,worst_post_reconciliation_kdr_std,worst_post_reconciliation_kdr_ci95_half_width,mean_reciprocity_mean,mean_reciprocity_std,mean_reciprocity_ci95_half_width,mean_surface_power_watt_mean,mean_surface_power_watt_std,mean_surface_power_watt_ci95_half_width,power_violation_probability_mean,power_violation_probability_std,power_violation_probability_ci95_half_width,mean_active_elements_mean,mean_active_elements_std,mean_active_elements_ci95_half_width,mean_projection_scale_mean,mean_projection_scale_std,mean_projection_scale_ci95_half_width,transmission_retained_bits_mean,transmission_retained_bits_std,transmission_retained_bits_ci95_half_width,transmission_mutual_information_ab_mean,transmission_mutual_information_ab_std,transmission_mutual_information_ab_ci95_half_width,transmission_eve_information_mean,transmission_eve_information_std,transmission_eve_information_ci95_half_width,transmission_reciprocity_mean,transmission_reciprocity_std,transmission_reciprocity_ci95_half_width,transmission_raw_kdr_mean,transmission_raw_kdr_std,transmission_raw_kdr_ci95_half_width,transmission_post_reconciliation_kdr_mean,transmission_post_reconciliation_kdr_std,transmission_post_reconciliation_kdr_ci95_half_width,transmission_public_leakage_bits_mean,transmission_public_leakage_bits_std,transmission_public_leakage_bits_ci95_half_width,transmission_finite_penalty_bits_mean,transmission_finite_penalty_bits_std,transmission_finite_penalty_bits_ci95_half_width,transmission_conditional_min_entropy_bits_mean,transmission_conditional_min_entropy_bits_std,transmission_conditional_min_entropy_bits_ci95_half_width,transmission_key_margin_bits_mean,transmission_key_margin_bits_std,transmission_key_margin_bits_ci95_half_width,transmission_positive_key_margin_probability_mean,transmission_positive_key_margin_probability_std,transmission_positive_key_margin_probability_ci95_half_width,transmission_reconciliation_success_probability_mean,transmission_reconciliation_success_probability_std,transmission_reconciliation_success_probability_ci95_half_width,transmission_finite_length_secret_bits_mean,transmission_finite_length_secret_bits_std,transmission_finite_length_secret_bits_ci95_half_width,transmission_final_key_bits_mean,transmission_final_key_bits_std,transmission_final_key_bits_ci95_half_width,transmission_final_key_success_probability_mean,transmission_final_key_success_probability_std,transmission_final_key_success_probability_ci95_half_width,transmission_zero_final_key_probability_mean,transmission_zero_final_key_probability_std,transmission_zero_final_key_probability_ci95_half_width,transmission_secure_key_rate_bps_mean,transmission_secure_key_rate_bps_std,transmission_secure_key_rate_bps_ci95_half_width,reflection_retained_bits_mean,reflection_retained_bits_std,reflection_retained_bits_ci95_half_width,reflection_mutual_information_ab_mean,reflection_mutual_information_ab_std,reflection_mutual_information_ab_ci95_half_width,reflection_eve_information_mean,reflection_eve_information_std,reflection_eve_information_ci95_half_width,reflection_reciprocity_mean,reflection_reciprocity_std,reflection_reciprocity_ci95_half_width,reflection_raw_kdr_mean,reflection_raw_kdr_std,reflection_raw_kdr_ci95_half_width,reflection_post_reconciliation_kdr_mean,reflection_post_reconciliation_kdr_std,reflection_post_reconciliation_kdr_ci95_half_width,reflection_public_leakage_bits_mean,reflection_public_leakage_bits_std,reflection_public_leakage_bits_ci95_half_width,reflection_finite_penalty_bits_mean,reflection_finite_penalty_bits_std,reflection_finite_penalty_bits_ci95_half_width,reflection_conditional_min_entropy_bits_mean,reflection_conditional_min_entropy_bits_std,reflection_conditional_min_entropy_bits_ci95_half_width,reflection_key_margin_bits_mean,reflection_key_margin_bits_std,reflection_key_margin_bits_ci95_half_width,reflection_positive_key_margin_probability_mean,reflection_positive_key_margin_probability_std,reflection_positive_key_margin_probability_ci95_half_width,reflection_reconciliation_success_probability_mean,reflection_reconciliation_success_probability_std,reflection_reconciliation_success_probability_ci95_half_width,reflection_finite_length_secret_bits_mean,reflection_finite_length_secret_bits_std,reflection_finite_length_secret_bits_ci95_half_width,reflection_final_key_bits_mean,reflection_final_key_bits_std,reflection_final_key_bits_ci95_half_width,reflection_final_key_success_probability_mean,reflection_final_key_success_probability_std,reflection_final_key_success_probability_ci95_half_width,reflection_zero_final_key_probability_mean,reflection_zero_final_key_probability_std,reflection_zero_final_key_probability_ci95_half_width,reflection_secure_key_rate_bps_mean,reflection_secure_key_rate_bps_std,reflection_secure_key_rate_bps_ci95_half_width,seed
passive,-0.0785190421788506,0.05728025574019373,0.01122693012507797,-0.05419155865810968,0.05844473662215233,0.011455168377941857,-0.10284652569959152,0.056742260119474565,0.011121482983417015,-0.12124131070830355,0.057718015454798675,0.01131273102914054,37.45105193083181,72.86497854382075,14.281535794588867,0.0,0.0,0.0,0.0,0.0,0.0,0.3025445304354074,0.055054008526486585,0.01079058567119137,0.35911923236860765,0.051573625203673604,0.010108430539920025,0.38352106573095,0.0506029469384061,0.009918177599927596,0.15754497411376003,0.050491952923705424,0.009896422773046264,0.20989022830633217,0.050804154799987504,0.00995761434079755,0.2342249637007502,0.051423257733629775,0.010078958515791436,0.5576780068325541,0.14025202601305906,0.027489397098559576,0.1819999999999999,1.1158161231197418e-16,2.1869996013146937e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,939.565,5.306848003506717,1.0401422086873164,0.5671483995297406,0.521245858886021,0.10216418834166012,0.12623140610448735,0.1427300822083365,0.027975096112833952,0.4719439624067639,0.1960488094780223,0.038425566657692374,0.3372749617287895,0.06938993109944896,0.013600426495491997,0.18983832397270217,0.06580484360535645,0.012897749346649865,892.751875,30.93587506573399,6.063431512883861,170.866875,0.4792617659252381,0.09393530612134668,823.84125,125.87282468429207,24.671073638121246,-271.7775,111.15974956899832,21.78731091552367,0.01,0.04140066607574268,0.008114530550845565,0.040625,0.10220694433206078,0.02003256108908391,179.885625,206.92012939943436,40.556345362289136,1.01,4.05955818116487,0.7956734035083144,0.01,0.04140066607574268,0.008114530550845565,0.99,0.04140066607574268,0.008114530550845565,19.91840276620479,80.06207995694082,15.692167671560401,934.823125,7.808077308753397,1.530383152515666,1.0808734693104802,0.6844835013664062,0.13415876626781562,0.2500588112023372,0.19502745149993558,0.03822538049398737,0.6434120512583442,0.1951339474941337,0.03824625370885021,0.26781409914202514,0.08132149088318076,0.01593901221310343,0.12525162425481784,0.07375870945909951,0.014456707053983506,862.824375,55.69393547581929,10.916011353260581,170.4425,0.7250522447215495,0.14211023996542368,710.91625,165.57072252900042,32.45186161568408,-354.350625,141.30584477954363,27.695945576790553,0.02875,0.05211741309269626,0.010215012966168467,0.143125,0.1777327663582991,0.03483562220622662,356.926875,259.4719339458565,50.85649905338788,2.786875,6.392399847078109,1.2529103700273094,0.02875,0.05211741309269626,0.010215012966168467,0.97125,0.05211741309269626,0.010215012966168467,54.98370109545883,126.15092898819587,24.72558208168639,0.0
passive,-0.08048943221842883,0.05632691437027898,0.01104007521657468,-0.05617535460700221,0.05811321873830793,0.011390190872708355,-0.10480350982985547,0.05513894586858217,0.010807233390242105,-0.1243048995859206,0.05347148256975384,0.010480410583671752,44.13072618611519,101.07748136477484,19.81118634749587,0.0,0.0,0.0,0.0,0.0,0.0,0.3052760225385186,0.05326584193477672,0.010440105019216238,0.3606597895255684,0.049090390264079485,0.009621716491759578,0.3833262234473676,0.04473665835206848,0.008768385037005421,0.1600011185320467,0.04841717210101221,0.009489765731798393,0.21153661415761035,0.04796003537194823,0.009400166932901851,0.2339664977517151,0.044251698944332875,0.008673332993089243,0.5512479202182279,0.13558996511230845,0.026575633162012457,0.1819999999999999,1.1158161231197418e-16,2.1869996013146937e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,939.558125,4.578796437386712,0.8974441017277955,0.527865408238195,0.5030728832224484,0.09860228511159988,0.12343516495399287,0.135407484812257,0.026539867023202372,0.4541162515792296,0.1968552238255259,0.038583623869803074,0.34527252960979404,0.07221502391593479,0.014154144687523218,0.19746798184358488,0.06797123442042402,0.013322361946403108,894.96875,36.47122012507418,7.148359144514539,170.875625,0.4273714844632515,0.08376481095479729,824.86,124.09778637818101,24.32316613012348,-272.984375,113.33395769623861,22.213455708462767,0.00875,0.03442804676481667,0.006747897165904068,0.03875,0.10980210619679628,0.02152121281457207,164.60375,206.21576644651526,40.41829022351699,1.016875,3.835677961734583,0.7517928804999783,0.00875,0.03442804676481667,0.006747897165904068,0.99125,0.03442804676481668,0.006747897165904069,20.06871003055042,75.72208916317592,14.84152947598248,935.655,7.3549069290062015,1.4415617580852156,1.0820429524903874,0.6685172038242563,0.13102937194955422,0.2621293969711591,0.21297981553649292,0.04174404384515261,0.6483795888572261,0.1855487637547919,0.03636755769593921,0.26527951546724315,0.07502221410069541,0.014704353963736299,0.12253425522050854,0.06725587838611934,0.013182152163679389,864.345,54.13102300451333,10.609680508884612,170.511875,0.6826155112780354,0.13379264021049495,703.22625,175.93033277469422,34.48234522384006,-363.630625,149.99867347240672,29.399740000591713,0.0275,0.05499081649684699,0.01077820003338201,0.1325,0.15597323974051291,0.030570754989140532,353.29,252.92912260276805,49.57410803014254,3.455,8.584234654059708,1.6825099921957025,0.0275,0.05499081649684699,0.01077820003338201,0.9725,0.05499081649684699,0.01077820003338201,68.19274234167997,169.48240812580366,33.21855199265752,1.0
partially_active_fixed,-0.06385327729812446,0.05143498850524237,0.010081257747027504,-0.04101504311854148,0.050815933348588256,0.009959922936323298,-0.08669151147770741,0.052693177969159254,0.010327862881955214,-0.10510077939161057,0.054781278106952325,0.010737130508962656,35.55468131596195,68.60536530212121,13.446651599215759,0.0,0.0,0.0,0.0,0.0,0.0,0.2788935151315166,0.04839384346569128,0.00948519331927549,0.33325732506349814,0.048917717629204445,0.009587872655324072,0.3545852595106039,0.051357149080246765,0.010066001219728365,0.1339751216422346,0.04456085275802958,0.008733927140573798,0.1844584860750274,0.04795202111812915,0.009398596139153313,0.2053491331259786,0.05180791289030508,0.010154350926499795,0.6213818498761958,0.12299965770863656,0.024107932910892766,0.29400123659618527,3.304148842820027e-07,6.476131731927253e-08,0.0,0.0,0.0,8.0,0.0,0.0,0.756802499934838,0.23611344021686637,0.04627823428250581,939.845625,4.042110400118041,0.792253638423136,0.7449926907771561,0.413824798049191,0.08110966041764142,0.14782498775849043,0.1258967604970083,0.024675765057413625,0.5824183335918115,0.1364896274875858,0.026751966987566815,0.29141721854447955,0.0537216329765562,0.010529440063405015,0.14359812086494847,0.05096636764267802,0.009989408057964892,895.21125,27.486492004981265,5.387352432976328,170.908125,0.3733607902173408,0.07317871488259879,802.72875,112.48222229764879,22.04651557033916,-295.390625,103.05879967867355,20.199524737020017,0.0075,0.025561867907277252,0.005010126109826341,0.044375,0.0902853046590293,0.017695919713169743,261.458125,183.94817078191343,36.053841473255034,0.584375,2.5816431268122964,0.50600205285521,0.0075,0.025561867907277252,0.005010126109826341,0.9925,0.025561867907277255,0.005010126109826342,11.526958434339111,50.957710783070155,9.98771131348175,933.795,7.329173449959822,1.436517996192125,1.1545970653618405,0.6802022884709327,0.13331964854030282,0.29741005074623145,0.23406638443627084,0.045877011349509084,0.66034536616058,0.20229314917614666,0.03964945723852474,0.2663698117185536,0.08188863465018699,0.01605017239143665,0.12435212241952072,0.07435817634823498,0.014574202564254055,859.73125,54.846966634929146,10.750005460446113,170.33375,0.681025528304204,0.133481003547624,668.6525,201.39721059696276,39.4738532770047,-393.4125,188.56136972220781,36.95802846555273,0.0275,0.056407607481776624,0.011055891066428219,0.145625,0.1835774459502478,0.03598117940624857,372.2375,255.5114282417153,50.0802399353762,3.019375,6.718340779175038,1.3167947927183072,0.0275,0.056407607481776624,0.011055891066428219,0.9725,0.05640760748177663,0.011055891066428219,59.58240419758479,132.63084285749653,25.995645200069323,0.0
partially_active_fixed,-0.06547914697531247,0.04904564357959877,0.009612946141601358,-0.0415383496934581,0.04810518529942913,0.009428616318688108,-0.08941994425716684,0.05077323681760477,0.009951554416250534,-0.10879425038217798,0.05277833391309228,0.010344553446966087,34.267588516451994,77.50135624426895,15.190265823876715,0.0,0.0,0.0,0.0,0.0,0.0,0.2786801762418656,0.04660633845239911,0.009134842336670225,0.33606401617392423,0.04807630628615703,0.009422956032086777,0.36041384699315643,0.04681446696172106,0.009175635524497327,0.13383078988382255,0.04328808677591652,0.008484465008079638,0.18699552306522524,0.04677509692717382,0.009167918997726069,0.21098854408713866,0.04692839092915915,0.009197964622115194,0.6188754688174498,0.11314240701036041,0.02217591177403064,0.2940011418766047,2.95506812124259e-07,5.791933517635476e-08,0.0,0.0,0.0,8.0,0.0,0.0,0.8091267435444922,0.19108683194477005,0.03745301906117493,939.7775,4.212225547813953,0.8255962073715348,0.6921234811597565,0.4065356850897745,0.0796809942775958,0.1411862207238557,0.13407188587460067,0.026278089631421732,0.5618417765851378,0.13689965939620216,0.02683233324165562,0.30089670056884177,0.05238164438033049,0.010266802298544774,0.1530192550496009,0.05069657524512044,0.009936528748043606,896.028125,21.484390208901868,4.210940480944766,170.885,0.40676880237532786,0.07972668526556426,808.556875,121.3963408947037,23.793682815361926,-290.35625,111.70272184062273,21.893733480762055,0.00375,0.014917703535996375,0.0029238698930552894,0.036875,0.08097759307862934,0.01587160824341135,236.189375,173.28654226555037,33.96416228404787,0.43,2.1867924541148707,0.4286113210065146,0.00375,0.014917703535996375,0.0029238698930552894,0.99625,0.014917703535996377,0.00292386989305529,8.484386604560626,43.18602031325024,8.464459981397047,934.77625,6.7703069725474965,1.3269801666193093,1.1785933197273963,0.6521338314919702,0.12781823097242617,0.2845802400983186,0.21725541321560465,0.04258206099025851,0.6759091610497616,0.18441616562707472,0.036145568462906646,0.25646365191488935,0.07415161954143662,0.014533717430121575,0.11464232471804417,0.06720451402240134,0.01317208474839066,859.4775,48.426276004892436,9.491550096958917,170.440625,0.6190611145194803,0.12133597844581814,679.3525,188.1792663350803,36.88313620167574,-382.565625,173.9843426335054,34.10093115616706,0.0275,0.058468458215183046,0.011459817810175877,0.158125,0.17212991885388915,0.033737464095362275,392.9125,249.25517456104006,48.85401421396385,3.04375,7.483227773939977,1.4667126436922355,0.0275,0.058468458215183046,0.011459817810175877,0.9725,0.058468458215183046,0.011459817810175877,60.05079042834337,147.67781763546736,28.944852256551606,1.0
partially_active_dynamic,-0.05968967023815793,0.046366378489275974,0.00908781018389809,-0.037312236088400966,0.04687887899357681,0.009188260282741055,-0.0820671043879149,0.046654250966710546,0.009144233189475267,-0.10053383429383934,0.04815584623510664,0.009438545862080901,30.19775536337231,77.4895767553781,15.187957044054107,0.0,0.0,0.0,0.0,0.0,0.0,0.2747927458499666,0.045485720743071834,0.008915201265642079,0.32868361287903086,0.044117757080732414,0.008647080387823552,0.352130536266306,0.045137473313204245,0.008846944769388031,0.12965892141958363,0.04199914148257835,0.008231831730585356,0.180591832396772,0.043640822239671494,0.008553601158975613,0.20315002603062698,0.04551846263524193,0.008921618676507419,0.6323224894125747,0.1089869865660365,0.021361449366943154,0.2940013658226982,3.0196123934965873e-07,5.9184402912533103e-08,0.0,0.0,0.0,8.0,0.0,0.0,0.6853276029917624,0.21145944829633206,0.041446051866081086,939.929375,4.322764053531027,0.8472617544920812,0.7328391546850598,0.4072328522261705,0.07981763903632941,0.1440068036340769,0.12270451212645198,0.024050084376784586,0.5778249660940896,0.13585023111878256,0.026626645299281382,0.2956852185166196,0.052421623257261525,0.01027463815842326,0.14743882888696688,0.05055405196670668,0.009908594185474509,898.390625,19.61069448808288,3.843696119664245,170.899375,0.4003327806054267,0.07846522499866362,805.376875,113.30032539847748,22.206863778101585,-295.913125,103.61797569701577,20.30912323661509,0.0025,0.012309149097933273,0.002412593223194921,0.026875,0.059096068636440006,0.01158282945274224,257.915625,179.7805476860886,35.23698734647336,0.1025,0.6127923956790098,0.1201073095530859,0.0025,0.012309149097933273,0.002412593223194921,0.9975,0.012309149097933273,0.002412593223194921,2.0198105407629607,12.077113116449507,2.3671141708241032,934.269375,6.894031824326258,1.3512302375679464,1.204670680824112,0.6410619134029595,0.12564813502698005,0.2867134506040644,0.21306140673746882,0.04176003572054389,0.6868200127310596,0.17449722183249727,0.03420145547916946,0.2539002731833137,0.07441953548192405,0.014586228954457114,0.1118790139522003,0.0669840044900272,0.013128864880045329,860.65,52.705579937665576,10.330293667782453,170.395,0.6327100202280423,0.12401116396469629,677.85625,184.28386219078445,36.119636989393754,-385.18875,167.39746361711076,32.809902868953706,0.026875,0.06041666666666666,0.011841666666666665,0.1425,0.1729588758268067,0.03389993966205411,402.080625,242.19039388870596,47.46931720218637,2.958125,7.860285952137408,1.540616046618932,0.026875,0.06041666666666666,0.011841666666666665,0.973125,0.06041666666666666,0.011841666666666665,58.37570018598166,155.178561807304,30.414998114231583,0.0
partially_active_dynamic,-0.06592100742654143,0.043216652189478615,0.008470463829137808,-0.04276176975242972,0.0443101944717516,0.008684798116463313,-0.08908024510065317,0.04283925642950407,0.008396494260182798,-0.10779689573898127,0.044640349459426854,0.008749508494047663,36.21821513693733,73.92753695269641,14.489797242728496,0.0,0.0,0.0,0.0,0.0,0.0,0.2802357847866244,0.04079016643635502,0.007994872621525585,0.3350172839337292,0.04084445523020686,0.008005513225120544,0.3589365006682563,0.04235247740925818,0.008301085572214604,0.1349061748393786,0.03737337037577114,0.007325180593651143,0.18588180196103665,0.03974730588652913,0.00779047195375971,0.20963218690053914,0.04231670235618194,0.00829407366181166,0.6156721659208225,0.10418307354407495,0.020419882414638692,0.29400131961469184,3.21978790311042e-07,6.310784290096424e-08,0.01,0.09999999999999999,0.0196,8.0,0.0,0.0,0.6630086188264874,0.2216009504361661,0.04343378628548855,939.57875,4.020147531402601,0.7879489161549097,0.62511806478777,0.43310333413470575,0.08488825349040233,0.13773209983629925,0.12843720140929193,0.025173691476221217,0.5230640748639069,0.15870038365710915,0.031105275196793392,0.3171343005219736,0.058896312127545467,0.01154367717699891,0.16853466854425303,0.05631823163186858,0.011038373399846242,898.881875,24.990853590437073,4.898207303725666,170.876875,0.36739500235104616,0.07200942046080505,811.505,117.1663095925418,22.964596680138193,-290.25375,107.50977676795003,21.071916246518207,0.003125,0.016319780245846672,0.003198676928185948,0.028125,0.07864410870073697,0.015414245305344446,200.36625,184.9544991265665,36.25108182880704,0.483125,2.4359512529901837,0.47744644558607596,0.003125,0.016319780245846672,0.003198676928185948,0.996875,0.016319780245846675,0.0031986769281859484,9.540857912959876,48.11712571878504,9.430956640881869,935.65125,6.548263056187518,1.2834595590127535,1.2373400200499198,0.5831508119673512,0.11429755914560083,0.27871815873702527,0.2002999198761694,0.0392587842957292,0.7082802569777381,0.14517256887651028,0.028453823499796017,0.24333726905127523,0.06062412828577116,0.011882329144011147,0.10127768113450422,0.053149275060807424,0.010417257911918255,861.904375,52.84436382245389,10.357495309200962,170.51,0.6021531232488826,0.11802201215678099,683.434375,174.18733800932438,34.14071824982758,-380.98,162.12183315248512,31.77587929788708,0.03125,0.06312815648673847,0.01237311867140074,0.14875,0.17717355099369989,0.03472601599476517,424.6525,221.11618308846394,43.338771885338936,3.188125,6.935400964417809,1.3593385890258907,0.03125,0.06312815648673847,0.01237311867140074,0.96875,0.06312815648673847,0.01237311867140074,62.895572360914784,136.86317041652197,26.825181401638304,1.0
