nmse_db,scenario,num_trials,mean_weighted_sum_rate,std_weighted_sum_rate,mean_transmission_rate,mean_reflection_rate,mean_ris_output_power,maximum_ris_output_power,mean_power_violation,maximum_power_violation,power_violation_probability,mean_beta_transmission,mean_active_amplitude,mean_requested_active_elements,mean_effective_active_elements,minimum_effective_active_elements,maximum_effective_active_elements,mean_disabled_active_elements,active_reduction_probability,passive_fallback_probability,mean_active_gain_std,mean_active_gain_min,mean_active_gain_max,mean_beta_transmission_std,mean_beta_transmission_min,mean_beta_transmission_max
-30.0,partial_active_fixed_beta,100,14.03343460107734,0.21140992095958513,14.029490245019549,14.037378957135134,29.32653134585867,30.269021304089186,0.0,0.0,0.0,0.5,1.4072262217520397,8.0,8.0,8,8,0.0,0.0,0.0,0.08487224352214355,1.314582378885276,1.5727174685591248,0.0,0.5,0.5
-30.0,partial_active_optimized_beta,100,14.034978761403176,0.21170522460289667,14.034577500388052,14.035380022418305,29.32653134585867,30.269021304089186,0.0,0.0,0.0,0.504,1.4072262217520397,8.0,8.0,8,8,0.0,0.0,0.0,0.08487224352214355,1.314582378885276,1.5727174685591248,0.0,0.504,0.504
-30.0,partial_active_vector_beta,100,13.96244085909602,0.22794314344239433,13.95325319070013,13.971628527491912,29.32653134585867,30.269021304089186,0.0,0.0,0.0,0.4926630318916109,1.4072262217520397,8.0,8.0,8,8,0.0,0.0,0.0,0.08487224352214355,1.314582378885276,1.5727174685591248,0.24320368240314483,0.07010055732719538,0.9296403339262962
-30.0,passive_phase_aligned,100,15.317431038866863,0.21925718341551262,15.295838584911529,15.339023492822202,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5
-30.0,passive_random,100,9.753273278601437,1.358642475984975,9.799219211422344,9.707327345780529,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5
-25.0,partial_active_fixed_beta,100,14.069473256034634,0.211853389114937,14.062094833037966,14.076851679031305,25.707468875057472,26.851500663580445,0.0,0.0,0.0,0.5,1.321835351588441,8.0,8.0,8,8,0.0,0.0,0.0,0.06883186414188484,1.2469200023483047,1.455840553042715,0.0,0.5,0.5
-25.0,partial_active_optimized_beta,100,14.070986094411166,0.2120914598464853,14.067887781983247,14.07408440683908,25.707468875057472,26.851500663580445,0.0,0.0,0.0,0.5045000000000001,1.321835351588441,8.0,8.0,8,8,0.0,0.0,0.0,0.06883186414188484,1.2469200023483047,1.455840553042715,0.0,0.5045000000000001,0.5045000000000001
-25.0,partial_active_vector_beta,100,14.005316588705163,0.22510560706058272,13.989212066737217,14.021421110673115,25.707468875057472,26.851500663580445,0.0,0.0,0.0,0.49219902511194646,1.321835351588441,8.0,8.0,8,8,0.0,0.0,0.0,0.06883186414188484,1.2469200023483047,1.455840553042715,0.24368393043971037,0.06911303297603374,0.9280131924280185
-25.0,passive_phase_aligned,100,15.312913241098384,0.2193538164708428,15.291299918385112,15.33452656381165,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5
-25.0,passive_random,100,9.753273278601437,1.358642475984975,9.799219211422344,9.707327345780529,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5
