repetition,sweep_name,scenario,num_samples,num_elements,active_fraction,active_count,active_gain,directional_gain_error_std_db,directional_phase_error_std_rad,eve_channel_scale,eve_channel_correlation,legitimate_receiver_noise_variance,eve_receiver_noise_variance,guard_band_sigma,selection_policy,weighted_legitimate_mi_bits_per_sample,weighted_eve_leakage_bits_per_sample,weighted_asymptotic_secret_rate_bits_per_sample,weighted_finite_length_rate_bits_per_sample,transmission_retention_ratio,reflection_retention_ratio,transmission_raw_kdr,reflection_raw_kdr,transmission_post_reconciliation_kdr,reflection_post_reconciliation_kdr,transmission_corrections,reflection_corrections,transmission_parity_leakage_bits,reflection_parity_leakage_bits,transmission_final_key_bits,reflection_final_key_bits,aggregate_final_key_bits,transmission_success,reflection_success,dual_side_success
0,directional_gain_error_std_db,directional_gain_error_std_db=1.5,1800,16,0.25,4,1.5,1.5,0.0,0.2,0.0,0.01,0.5,0.05,alice,4.810149239252457,0.001435662221469528,4.8087135770309875,3.856831980815975,0.9555555555555556,0.9512345679012346,0.0355297157622739,0.04412719013627515,0.0,0.0,55,68,651,686,128,128,256,True,True,True
0,directional_phase_error_std_rad,directional_phase_error_std_rad=0.0,1800,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.05,alice,8.032566331097769,0.0015309594752987113,8.03103537162247,6.918032920815191,0.9611111111111111,0.9518518518518518,0.0032113037893384713,0.00324254215304799,0.0,0.0,5,5,482,479,128,128,256,True,True,True
0,directional_phase_error_std_rad,directional_phase_error_std_rad=0.05,1800,16,0.25,4,1.5,0.0,0.05,0.2,0.0,0.01,0.5,0.05,alice,7.317575044421217,0.001533054697037206,7.31604198972418,6.238789103250728,0.9648148148148148,0.9530864197530864,0.005118362124120281,0.005829015544041451,0.0,0.0,8,9,492,493,128,128,256,True,True,True
0,directional_phase_error_std_rad,directional_phase_error_std_rad=0.1,1800,16,0.25,4,1.5,0.0,0.1,0.2,0.0,0.01,0.5,0.05,alice,6.233637218332115,0.0015342706064275548,6.2321029477256875,5.20904695255669,0.9623456790123457,0.9574074074074074,0.015394483643361129,0.017408123791102514,0.0,0.0,24,27,543,546,128,128,256,True,True,True
0,directional_phase_error_std_rad,directional_phase_error_std_rad=0.2,1800,16,0.25,4,1.5,0.0,0.2,0.2,0.0,0.01,0.5,0.05,alice,4.626152147843818,0.001535124478401058,4.624617023365417,3.6819352817208357,0.9641975308641976,0.9487654320987654,0.04353393085787452,0.043591411841249185,0.0,0.0,68,67,688,681,128,128,256,True,True,True
0,directional_phase_error_std_rad,directional_phase_error_std_rad=0.5,1800,16,0.25,4,1.5,0.0,0.5,0.2,0.0,0.01,0.5,0.05,alice,2.2490773948657843,0.0015487342013330739,2.247528660664451,1.4237006566687715,0.9666666666666667,0.9537037037037037,0.14495530012771393,0.13398058252427184,0.0,0.0012944983818770227,227,205,1411,1326,59,0,59,True,False,False
0,eve_channel_correlation,eve_channel_correlation=0.0,1800,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.05,alice,8.032566331097769,0.0015309594752987113,8.03103537162247,6.918032920815191,0.9611111111111111,0.9518518518518518,0.0032113037893384713,0.00324254215304799,0.0,0.0,5,5,482,479,128,128,256,True,True,True
0,eve_channel_correlation,eve_channel_correlation=0.25,1800,16,0.25,4,1.5,0.0,0.0,0.2,0.25,0.01,0.5,0.05,alice,8.032566331097769,0.15562586656868532,7.876940464529084,6.763938013721805,0.9611111111111111,0.9518518518518518,0.0032113037893384713,0.00324254215304799,0.0,0.0,5,5,482,479,128,128,256,True,True,True
0,eve_channel_correlation,eve_channel_correlation=0.5,1800,16,0.25,4,1.5,0.0,0.0,0.2,0.5,0.01,0.5,0.05,alice,8.032566331097769,0.34622479587415106,7.686341535223619,6.573339084416339,0.9611111111111111,0.9518518518518518,0.0032113037893384713,0.00324254215304799,0.0,0.0,5,5,482,479,128,128,256,True,True,True
0,eve_channel_correlation,eve_channel_correlation=0.75,1800,16,0.25,4,1.5,0.0,0.0,0.2,0.75,0.01,0.5,0.05,alice,8.032566331097769,0.5698910655775254,7.462675265520244,6.349672814712965,0.9611111111111111,0.9518518518518518,0.0032113037893384713,0.00324254215304799,0.0,0.0,5,5,482,479,128,128,256,True,True,True
