repetition,sweep_name,scenario,num_samples,num_elements,active_fraction,active_count,active_gain,directional_gain_error_std_db,directional_phase_error_std_rad,eve_channel_scale,eve_channel_correlation,legitimate_receiver_noise_variance,eve_receiver_noise_variance,guard_band_sigma,selection_policy,weighted_legitimate_mi_bits_per_sample,weighted_eve_leakage_bits_per_sample,weighted_asymptotic_secret_rate_bits_per_sample,weighted_finite_length_rate_bits_per_sample,weighted_operational_bound_bits_per_sample,transmission_pre_reconciliation_entropy_bound_bits,reflection_pre_reconciliation_entropy_bound_bits,transmission_operational_secret_bit_bound,reflection_operational_secret_bit_bound,aggregate_operational_secret_bit_bound,transmission_retention_ratio,reflection_retention_ratio,transmission_raw_kdr,reflection_raw_kdr,transmission_post_reconciliation_kdr,reflection_post_reconciliation_kdr,transmission_corrections,reflection_corrections,transmission_parity_leakage_bits,reflection_parity_leakage_bits,transmission_final_key_bits,reflection_final_key_bits,aggregate_final_key_bits,transmission_success,reflection_success,dual_side_success
1,directional_phase_error_std_rad,directional_phase_error_std_rad=0.1,1500,16,0.25,4,1.5,0.0,0.1,0.2,0.0,0.01,0.5,0.05,alice,6.908760407135013,0.001913173630411707,6.9068472335046005,5.770543269000804,0.5603703703703704,8763,7882,765,748,1513,0.9540740740740741,0.965925925925926,0.010093167701863354,0.01763803680981595,0.0,0.0,13,23,427,460,128,128,256,True,True,True
1,directional_phase_error_std_rad,directional_phase_error_std_rad=0.2,1500,16,0.25,4,1.5,0.0,0.2,0.2,0.0,0.01,0.5,0.05,alice,5.526318494478469,0.0019120000635172163,5.524406494414951,4.457224625543981,0.5022222222222222,6932,5980,684,672,1356,0.9577777777777777,0.9533333333333334,0.029389017788089715,0.031857031857031856,0.0,0.0,38,41,513,519,128,128,256,True,True,True
1,directional_phase_error_std_rad,directional_phase_error_std_rad=0.5,1500,16,0.25,4,1.5,0.0,0.5,0.2,0.0,0.01,0.5,0.05,alice,3.17230382678136,0.0019088302915377083,3.170394996489823,2.2209138610037087,0.2533333333333333,3751,2806,457,227,684,0.9688888888888889,0.9674074074074074,0.08027522935779817,0.11408882082695253,0.0,0.0,105,149,755,983,128,128,256,True,True,True
1,eve_channel_correlation,eve_channel_correlation=0.0,1500,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.05,alice,8.022022353213906,0.0019142730275810657,8.020108080186326,6.828141018378584,0.5866666666666667,10167,9484,802,782,1584,0.9614814814814815,0.9651851851851851,0.0023112480739599386,0.00844205679201842,0.0,0.0,3,11,400,425,128,128,256,True,True,True
1,eve_channel_correlation,eve_channel_correlation=0.5,1500,16,0.25,4,1.5,0.0,0.0,0.2,0.5,0.01,0.5,0.05,alice,8.022022353213906,0.37824867424424713,7.643773678969659,6.4518066171619175,0.5866666666666667,9582,9053,802,782,1584,0.9614814814814815,0.9651851851851851,0.0023112480739599386,0.00844205679201842,0.0,0.0,3,11,400,425,128,128,256,True,True,True
1,eve_channel_correlation,eve_channel_correlation=1.0,1500,16,0.25,4,1.5,0.0,0.0,0.2,1.0,0.01,0.5,0.05,alice,8.022022353213906,0.8965530929501414,7.125469260263765,5.933502198456023,0.5866666666666667,8683,8552,802,782,1584,0.9614814814814815,0.9651851851851851,0.0023112480739599386,0.00844205679201842,0.0,0.0,3,11,400,425,128,128,256,True,True,True
1,guard_band_sigma,guard_band_sigma=0.0,1500,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.0,alice,8.022022353213906,0.0019142730275810657,8.020108080186326,6.828141018378584,0.567037037037037,10167,9484,773,758,1531,1.0,1.0,0.017777777777777778,0.02148148148148148,0.0,0.0,24,29,481,496,128,128,256,True,True,True
1,guard_band_sigma,guard_band_sigma=0.05,1500,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.05,alice,8.022022353213906,0.0019142730275810657,8.020108080186326,6.828141018378584,0.5866666666666667,10167,9484,802,782,1584,0.9614814814814815,0.9651851851851851,0.0023112480739599386,0.00844205679201842,0.0,0.0,3,11,400,425,128,128,256,True,True,True
1,guard_band_sigma,guard_band_sigma=0.15,1500,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.15,alice,8.022022353213906,0.0019142730275810657,8.020108080186326,6.828141018378584,0.5418518518518518,10167,9484,717,746,1463,0.8622222222222222,0.8888888888888888,0.0,0.0,0.0,0.0,0,0,351,358,128,128,256,True,True,True
1,guard_band_sigma,guard_band_sigma=0.25,1500,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.25,alice,8.022022353213906,0.0019142730275810657,8.020108080186326,6.828141018378584,0.48629629629629634,10167,9484,645,668,1313,0.7851851851851852,0.8051851851851852,0.0,0.0,0.0,0.0,0,0,319,323,128,128,256,True,True,True
2,directional_phase_error_std_rad,directional_phase_error_std_rad=0.0,1500,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.05,alice,8.05589707742815,0.0015894854512614825,8.054307591976889,6.860646793958435,0.5755555555555556,10140,9603,786,768,1554,0.9607407407407408,0.9585185185185185,0.006168080185042405,0.010046367851622875,0.0,0.0,8,13,415,430,128,128,256,True,True,True
2,directional_phase_error_std_rad,directional_phase_error_std_rad=0.1,1500,16,0.25,4,1.5,0.0,0.1,0.2,0.0,0.01,0.5,0.05,alice,5.9532932287113365,0.0015529245252318736,5.951740304186105,4.863209698603491,0.517037037037037,6973,7093,713,683,1396,0.9644444444444444,0.9562962962962963,0.02457757296466974,0.030209140201394268,0.0,0.0,32,39,493,512,128,128,256,True,True,True
2,directional_phase_error_std_rad,directional_phase_error_std_rad=0.2,1500,16,0.25,4,1.5,0.0,0.2,0.2,0.0,0.01,0.5,0.05,alice,4.246062069756197,0.001614541567595195,4.244447528188601,3.2412784805537456,0.38814814814814813,4606,4850,564,484,1048,0.9644444444444444,0.9622222222222222,0.05606758832565284,0.07236335642802155,0.0,0.0,73,94,642,719,128,128,256,True,True,True
2,directional_phase_error_std_rad,directional_phase_error_std_rad=0.5,1500,16,0.25,4,1.5,0.0,0.5,0.2,0.0,0.01,0.5,0.05,alice,1.8284605219570098,0.002005078499852478,1.8264554434571574,0.9441664732122612,0.03481481481481481,1333,1595,29,65,94,0.957037037037037,0.9518518518518518,0.16253869969040247,0.17042801556420234,0.018575851393188854,0.03268482490272374,186,177,1167,1124,0,0,0,False,False,False
2,eve_channel_correlation,eve_channel_correlation=0.0,1500,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.05,alice,8.05589707742815,0.0015894854512614825,8.054307591976889,6.860646793958435,0.5755555555555556,10140,9603,786,768,1554,0.9607407407407408,0.9585185185185185,0.006168080185042405,0.010046367851622875,0.0,0.0,8,13,415,430,128,128,256,True,True,True
2,eve_channel_correlation,eve_channel_correlation=0.5,1500,16,0.25,4,1.5,0.0,0.0,0.2,0.5,0.01,0.5,0.05,alice,8.05589707742815,0.38981958122800925,7.666077496200141,6.4724166981816875,0.5755555555555556,9506,9189,786,768,1554,0.9607407407407408,0.9585185185185185,0.006168080185042405,0.010046367851622875,0.0,0.0,8,13,415,430,128,128,256,True,True,True
2,eve_channel_correlation,eve_channel_correlation=1.0,1500,16,0.25,4,1.5,0.0,0.0,0.2,1.0,0.01,0.5,0.05,alice,8.05589707742815,0.9028898191644212,7.153007258263729,5.959346460245275,0.5755555555555556,8630,8680,786,768,1554,0.9607407407407408,0.9585185185185185,0.006168080185042405,0.010046367851622875,0.0,0.0,8,13,415,430,128,128,256,True,True,True
2,guard_band_sigma,guard_band_sigma=0.0,1500,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.0,alice,8.05589707742815,0.0015894854512614825,8.054307591976889,6.860646793958435,0.5555555555555556,10140,9603,754,746,1500,1.0,1.0,0.02,0.022962962962962963,0.0,0.0,27,31,500,508,128,128,256,True,True,True
2,guard_band_sigma,guard_band_sigma=0.05,1500,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.05,alice,8.05589707742815,0.0015894854512614825,8.054307591976889,6.860646793958435,0.5755555555555556,10140,9603,786,768,1554,0.9607407407407408,0.9585185185185185,0.006168080185042405,0.010046367851622875,0.0,0.0,8,13,415,430,128,128,256,True,True,True
2,guard_band_sigma,guard_band_sigma=0.15,1500,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.15,alice,8.05589707742815,0.0015894854512614825,8.054307591976889,6.860646793958435,0.5477777777777777,10140,9603,744,735,1479,0.8874074074074074,0.88,0.0,0.0,0.0,0.0,0,0,358,357,128,128,256,True,True,True
2,guard_band_sigma,guard_band_sigma=0.25,1500,16,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.25,alice,8.05589707742815,0.0015894854512614825,8.054307591976889,6.860646793958435,0.4855555555555555,10140,9603,656,655,1311,0.7955555555555556,0.7933333333333333,0.0,0.0,0.0,0.0,0,0,322,320,128,128,256,True,True,True
