nmse_db,scenario,num_trials,mean_weighted_sum_rate,std_weighted_sum_rate,mean_transmission_rate,mean_reflection_rate,mean_ris_output_power,maximum_ris_output_power,mean_power_violation,maximum_power_violation,power_violation_probability,mean_beta_transmission,mean_active_amplitude
-30.0,partial_active_fixed_beta,100,13.941872966413063,0.2411453649215543,13.93883215350418,13.944913779321945,34.84768364176069,35.81563373529454,0.09718375012975472,0.81563373529454,0.34,0.5,1.6294781726367464
-30.0,partial_active_optimized_beta,100,13.9433225050952,0.24134124286636482,13.942214411385892,13.944430598804509,34.84768364176069,35.81563373529454,0.09718375012975472,0.81563373529454,0.34,0.503,1.6294781726367464
-30.0,passive_phase_aligned,100,15.317431038866863,0.21925718341551262,15.295838584911529,15.339023492822202,0.0,0.0,0.0,0.0,0.0,0.5,1.0
-30.0,passive_random,100,9.753273278601437,1.358642475984975,9.799219211422344,9.707327345780529,0.0,0.0,0.0,0.0,0.0,0.5,1.0
-25.0,partial_active_fixed_beta,100,13.94243909084687,0.24168037322585517,13.935782288135126,13.949095893558617,34.630069229549285,36.4437060205401,0.12551484409463598,1.4437060205400982,0.27,0.5,1.6242556904143228
-25.0,partial_active_optimized_beta,100,13.943844253298698,0.24187615289675818,13.940198119742313,13.94749038685508,34.630069229549285,36.4437060205401,0.12551484409463598,1.4437060205400982,0.27,0.5045000000000001,1.6242556904143228
-25.0,passive_phase_aligned,100,15.312913241098384,0.2193538164708428,15.291299918385112,15.33452656381165,0.0,0.0,0.0,0.0,0.0,0.5,1.0
-25.0,passive_random,100,9.753273278601437,1.358642475984975,9.799219211422344,9.707327345780529,0.0,0.0,0.0,0.0,0.0,0.5,1.0
-20.0,partial_active_fixed_beta,100,13.931061060773233,0.23550788434304337,13.920560769703426,13.94156135184304,33.972306133493284,37.539790461979855,0.13501243916011474,2.5397904619798553,0.18,0.5,1.6151626990976362
-20.0,partial_active_optimized_beta,100,13.932337228324137,0.23566357023508228,13.92523092545955,13.939443531188731,33.972306133493284,37.539790461979855,0.13501243916011474,2.5397904619798553,0.18,0.5055,1.6151626990976362
-20.0,passive_phase_aligned,100,15.29871817183695,0.22004121370556048,15.276973137005509,15.320463206668391,0.0,0.0,0.0,0.0,0.0,0.5,1.0
-20.0,passive_random,100,9.753273278601437,1.358642475984975,9.799219211422344,9.707327345780529,0.0,0.0,0.0,0.0,0.0,0.5,1.0
-15.0,partial_active_fixed_beta,100,13.909529853760823,0.23277536744166225,13.895302525164318,13.923757182357326,32.27092192900545,37.05497658283379,0.07947721181606368,2.0549765828337883,0.09,0.5,1.5869087101890935
-15.0,partial_active_optimized_beta,100,13.910728997567546,0.23258500434281804,13.897679439540232,13.923778555594861,32.27092192900545,37.05497658283379,0.07947721181606368,2.0549765828337883,0.09,0.502,1.5869087101890935
-15.0,passive_phase_aligned,100,15.254569332499543,0.22167956795498137,15.232297017664598,15.276841647334486,0.0,0.0,0.0,0.0,0.0,0.5,1.0
-15.0,passive_random,100,9.753273278601437,1.358642475984975,9.799219211422344,9.707327345780529,0.0,0.0,0.0,0.0,0.0,0.5,1.0
-10.0,partial_active_fixed_beta,100,13.82811867127215,0.24543082881378445,13.820270516199525,13.835966826344777,28.320067502677002,36.68955415868084,0.01689554158680842,1.689554158680842,0.01,0.5,1.5104345871293305
-10.0,partial_active_optimized_beta,100,13.82902163576422,0.24526921733805276,13.82502717305606,13.833016098472378,28.320067502677002,36.68955415868084,0.01689554158680842,1.689554158680842,0.01,0.5055000000000001,1.5104345871293305
-10.0,passive_phase_aligned,100,15.10980778683921,0.2256769177457402,15.084913584469877,15.134701989208542,0.0,0.0,0.0,0.0,0.0,0.5,1.0
-10.0,passive_random,100,9.753273278601437,1.358642475984975,9.799219211422344,9.707327345780529,0.0,0.0,0.0,0.0,0.0,0.5,1.0
-5.0,partial_active_fixed_beta,100,13.470033400836053,0.2815103307272298,13.441027706824993,13.49903909484711,21.130900258365887,29.171564451280478,0.0,0.0,0.0,0.5,1.356197187001002
-5.0,partial_active_optimized_beta,100,13.469556662045918,0.28137357372340044,13.442797039180114,13.496316284911714,21.130900258365887,29.171564451280478,0.0,0.0,0.0,0.5035000000000001,1.356197187001002
-5.0,passive_phase_aligned,100,14.63430344328612,0.26696710324616196,14.593847665727353,14.674759220844884,0.0,0.0,0.0,0.0,0.0,0.5,1.0
-5.0,passive_random,100,9.753273278601437,1.358642475984975,9.799219211422344,9.707327345780529,0.0,0.0,0.0,0.0,0.0,0.5,1.0
0.0,partial_active_fixed_beta,100,12.403985555224477,0.557747348360608,12.334047215840087,12.473923894608875,12.44538861173517,19.19315646550038,0.0,0.0,0.0,0.5,1.0978102682120414
0.0,partial_active_optimized_beta,100,12.400473896380763,0.5582833960147586,12.340429117086739,12.460518675674786,12.44538861173517,19.19315646550038,0.0,0.0,0.0,0.5069999999999999,1.0978102682120414
0.0,passive_phase_aligned,100,13.381642117938913,0.5684747188336766,13.304731039518794,13.458553196359038,0.0,0.0,0.0,0.0,0.0,0.5,1.0
0.0,passive_random,100,9.753273278601437,1.358642475984975,9.799219211422344,9.707327345780529,0.0,0.0,0.0,0.0,0.0,0.5,1.0
