sweep_name,scenario,num_repetitions,active_fraction,active_count,active_gain,directional_gain_error_std_db,directional_phase_error_std_rad,eve_channel_scale,eve_channel_correlation,legitimate_receiver_noise_variance,eve_receiver_noise_variance,guard_band_sigma,selection_policy,legitimate_mi_mean,legitimate_mi_std,legitimate_mi_ci95,eve_leakage_mean,eve_leakage_std,eve_leakage_ci95,asymptotic_secret_rate_mean,asymptotic_secret_rate_std,asymptotic_secret_rate_ci95,finite_proxy_rate_mean,finite_proxy_rate_std,finite_proxy_rate_ci95,operational_bound_rate_mean,operational_bound_rate_std,operational_bound_rate_ci95,transmission_raw_kdr_mean,transmission_raw_kdr_std,transmission_raw_kdr_ci95,reflection_raw_kdr_mean,reflection_raw_kdr_std,reflection_raw_kdr_ci95,transmission_retention_ratio_mean,reflection_retention_ratio_mean,aggregate_operational_secret_bits_mean,aggregate_operational_secret_bits_std,aggregate_operational_secret_bits_ci95,transmission_success_rate,reflection_success_rate,dual_side_success_rate
directional_phase_error_std_rad,directional_phase_error_std_rad=0.0,3,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.05,alice,8.040544905792784,0.017158459186156945,0.019416624418813564,0.0018335670952109636,0.00021538444647522362,0.00024373044557738865,8.038711338697572,0.01729691336703912,0.019573300073674957,6.845818149260886,0.016439031804533648,0.018602515697626068,0.582716049382716,0.0062122200619304175,0.007029788773040612,0.004361362169731403,0.0019399019877965086,0.002195205752317377,0.008477623029361912,0.00155126752171553,0.0017554244536452665,0.9624691358024692,0.9612345679012346,1573.3333333333333,16.77299416721217,18.9804296872097,1.0,1.0,1.0
directional_phase_error_std_rad,directional_phase_error_std_rad=0.1,3,0.25,4,1.5,0.0,0.1,0.2,0.0,0.01,0.5,0.05,alice,6.367480590927123,0.4902486625759695,0.5547685867238564,0.0018393736468555815,0.00025760356438990137,0.0002915058749996447,6.365641217280266,0.49011453107441055,0.5546168026411339,5.256401243586864,0.46560210054269796,0.5268783762438205,0.541358024691358,0.02214905650724097,0.02506401692403354,0.01742725556674125,0.007243951107144183,0.008197302358544116,0.021673753253021153,0.007395501072391682,0.008368797288477507,0.9619753086419752,0.9570370370370371,1461.6666666666667,59.80245256955047,67.6728456948904,1.0,1.0,1.0
directional_phase_error_std_rad,directional_phase_error_std_rad=0.2,3,0.25,4,1.5,0.0,0.2,0.2,0.0,0.01,0.5,0.05,alice,4.798902377394783,0.6577398142071242,0.7443026672268666,0.0018917475371099449,0.00026765498901129976,0.00030288013271301565,4.797010629857673,0.6576462651305406,0.7441968064811525,3.7661995668408874,0.624759276936664,0.7069816759674739,0.4534567901234568,0.058808859355788,0.06654848912840614,0.04122763526931072,0.013590163461408346,0.015378717684239245,0.04946881159889377,0.020763460400136033,0.02349606732460028,0.9637037037037036,0.957037037037037,1224.3333333333333,158.78392026062755,179.6809206466965,1.0,1.0,1.0
directional_phase_error_std_rad,directional_phase_error_std_rad=0.5,3,0.25,4,1.5,0.0,0.5,0.2,0.0,0.01,0.5,0.05,alice,2.4123587771256676,0.6890014966363848,0.7796785911279407,0.0021533012435662803,0.0003434707897446368,0.0003886737877189653,2.4102054758821017,0.6891237554271806,0.7798169399736633,1.4987215928787723,0.6546736845295719,0.7408330148692445,0.14839506172839503,0.10951528905503746,0.12392821596795889,0.1236994395127181,0.04132294716632794,0.04676131675356872,0.13067292329305574,0.034586085241315,0.03913783982360557,0.9614814814814815,0.9590123456790124,400.6666666666667,295.6912804486012,334.60618311348907,0.6666666666666666,0.6666666666666666,0.6666666666666666
eve_channel_correlation,eve_channel_correlation=0.0,3,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.05,alice,8.040544905792784,0.017158459186156945,0.019416624418813564,0.0018335670952109636,0.00021538444647522362,0.00024373044557738865,8.038711338697572,0.01729691336703912,0.019573300073674957,6.845818149260886,0.016439031804533648,0.018602515697626068,0.582716049382716,0.0062122200619304175,0.007029788773040612,0.004361362169731403,0.0019399019877965086,0.002195205752317377,0.008477623029361912,0.00155126752171553,0.0017554244536452665,0.9624691358024692,0.9612345679012346,1573.3333333333333,16.77299416721217,18.9804296872097,1.0,1.0,1.0
eve_channel_correlation,eve_channel_correlation=0.5,3,0.25,4,1.5,0.0,0.0,0.2,0.5,0.01,0.5,0.05,alice,8.040544905792784,0.017158459186156945,0.019416624418813564,0.37276482173380227,0.02035837040209487,0.0230376648385467,7.66778008405898,0.02490139161912725,0.028178577302818843,6.474886894622295,0.024409299402770323,0.027621722538602452,0.582716049382716,0.0062122200619304175,0.007029788773040612,0.004361362169731403,0.0019399019877965086,0.002195205752317377,0.008477623029361912,0.00155126752171553,0.0017554244536452665,0.9624691358024692,0.9612345679012346,1573.3333333333333,16.77299416721217,18.9804296872097,1.0,1.0,1.0
eve_channel_correlation,eve_channel_correlation=1.0,3,0.25,4,1.5,0.0,0.0,0.2,1.0,0.01,0.5,0.05,alice,8.040544905792784,0.017158459186156945,0.019416624418813564,0.8802307536051669,0.03390724068704588,0.038369654894761,7.160314152187617,0.03901493459018859,0.0441495546565996,5.967420962750931,0.0385947834466695,0.0436741088800099,0.582716049382716,0.0062122200619304175,0.007029788773040612,0.004361362169731403,0.0019399019877965086,0.002195205752317377,0.008477623029361912,0.00155126752171553,0.0017554244536452665,0.9624691358024692,0.9612345679012346,1573.3333333333333,16.77299416721217,18.9804296872097,1.0,1.0,1.0
guard_band_sigma,guard_band_sigma=0.0,3,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.0,alice,8.040544905792784,0.017158459186156945,0.019416624418813564,0.0018335670952109636,0.00021538444647522362,0.00024373044557738865,8.038711338697572,0.01729691336703912,0.019573300073674957,6.845818149260886,0.016439031804533648,0.018602515697626068,0.5676543209876543,0.012418918559204576,0.014053329307473572,0.01580246913580247,0.005460085033949625,0.006178667865732164,0.021728395061728394,0.001131500171594035,0.0012804129801695307,1.0,1.0,1532.6666666666667,33.53108010985231,37.94398913017859,1.0,1.0,1.0
guard_band_sigma,guard_band_sigma=0.05,3,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.05,alice,8.040544905792784,0.017158459186156945,0.019416624418813564,0.0018335670952109636,0.00021538444647522362,0.00024373044557738865,8.038711338697572,0.01729691336703912,0.019573300073674957,6.845818149260886,0.016439031804533648,0.018602515697626068,0.582716049382716,0.0062122200619304175,0.007029788773040612,0.004361362169731403,0.0019399019877965086,0.002195205752317377,0.008477623029361912,0.00155126752171553,0.0017554244536452665,0.9624691358024692,0.9612345679012346,1573.3333333333333,16.77299416721217,18.9804296872097,1.0,1.0,1.0
guard_band_sigma,guard_band_sigma=0.15,3,0.25,4,1.5,0.0,0.0,0.2,0.0,0.01,0.5,0.15,alice,8.040544905792784,0.017158459186156945,0.019416624418813564,0.0018335670952109636,0.00021538444647522362,0.00024373044557738865,8.038711338697572,0.01729691336703912,0.019573300073674957,6.845818149260886,0.016439031804533648,0.018602515697626068,0.5445679012345679,0.0029936680624646967,0.003387654320987621,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.8790123456790123,1470.3333333333333,8.082903768654761,9.146666666666668,1.0,1.0,1.0
