update_index,critic_loss
1,0.11796914041042328
2,0.138251394033432
3,0.08143254369497299
4,0.08797729015350342
5,0.10448920726776123
6,0.06804915517568588
7,0.07726471871137619
8,0.08761392533779144
9,0.08489139378070831
10,0.10656525194644928
11,0.07647088915109634
12,0.07281166315078735
13,0.060132794082164764
14,0.07288111746311188
15,0.08558923006057739
16,0.09148329496383667
17,0.06406836956739426
18,0.10296133905649185
19,0.07481446862220764
20,0.06524171680212021
21,0.08499660342931747
22,0.06886865198612213
23,0.07426539063453674
24,0.05883891135454178
25,0.044291041791439056
26,0.04448448121547699
27,0.03421887755393982
28,0.062191687524318695
29,0.08128432184457779
30,0.0911363810300827
31,0.05260228365659714
32,0.0498102642595768
33,0.087558813393116
34,0.060830533504486084
35,0.037516918033361435
36,0.07362402975559235
37,0.056784432381391525
38,0.06643050909042358
39,0.05566398799419403
40,0.060596853494644165
41,0.047571659088134766
42,0.06573415547609329
43,0.02760707214474678
44,0.04184607416391373
45,0.03533489629626274
46,0.04832341521978378
47,0.04294457286596298
48,0.05606156587600708
49,0.04161708801984787
50,0.04614565148949623
51,0.023634910583496094
52,0.029901323840022087
53,0.05156407505273819
54,0.03052140772342682
55,0.03634319454431534
56,0.03438901901245117
57,0.038893815129995346
58,0.030750615522265434
59,0.037040162831544876
60,0.03372057527303696
61,0.0334019772708416
62,0.02461061254143715
63,0.04262079298496246
64,0.029361102730035782
65,0.030103683471679688
66,0.02407102845609188
67,0.03319595009088516
68,0.031504131853580475
69,0.013676650822162628
70,0.031003769487142563
71,0.03315354883670807
72,0.02399471588432789
73,0.025582775473594666
74,0.024178266525268555
75,0.03132996708154678
76,0.01896975189447403
77,0.029408060014247894
78,0.026562370359897614
79,0.0287746824324131
80,0.017956260591745377
81,0.023571021854877472
82,0.02136915922164917
83,0.025729458779096603
84,0.02182939648628235
85,0.017285510897636414
86,0.016576100140810013
87,0.019194990396499634
88,0.019860947504639626
89,0.02995970845222473
90,0.028740642592310905
91,0.027083752676844597
92,0.023341108113527298
93,0.030471252277493477
94,0.023409057408571243
95,0.026795484125614166
96,0.020994069054722786
97,0.019164331257343292
