update_index,actor_loss
2,-0.03487401083111763
4,-0.09284952282905579
6,-0.11943797022104263
8,-0.1325989067554474
10,-0.1327524334192276
12,-0.13501644134521484
14,-0.13410890102386475
16,-0.13352741301059723
18,-0.14357948303222656
20,-0.16561974585056305
22,-0.20817047357559204
24,-0.24996010959148407
26,-0.28625649213790894
28,-0.2797175347805023
30,-0.2933095097541809
32,-0.31336861848831177
34,-0.33950042724609375
36,-0.33845654129981995
38,-0.35170257091522217
40,-0.3712369203567505
42,-0.37242838740348816
44,-0.367854505777359
46,-0.36045801639556885
48,-0.3301737904548645
50,-0.27948278188705444
52,-0.23689903318881989
54,-0.20590272545814514
56,-0.2901430130004883
58,-0.3246428966522217
60,-0.2874167263507843
62,-0.2812107503414154
64,-0.2644619941711426
66,-0.276549756526947
68,-0.29434964060783386
70,-0.29733848571777344
72,-0.3125667870044708
74,-0.28455257415771484
76,-0.27273616194725037
78,-0.23768062889575958
80,-0.2527891993522644
82,-0.30062586069107056
84,-0.29729989171028137
86,-0.28770312666893005
88,-0.27861788868904114
90,-0.19893696904182434
92,-0.2320946305990219
94,-0.3202126622200012
96,-0.3908514976501465
98,-0.3607501983642578
100,-0.36642253398895264
102,-0.42229384183883667
104,-0.47517699003219604
106,-0.4925965666770935
108,-0.42520979046821594
110,-0.3945845067501068
112,-0.40883511304855347
114,-0.41759178042411804
116,-0.4345494210720062
118,-0.435308575630188
120,-0.4233320951461792
122,-0.4040563702583313
124,-0.45034000277519226
126,-0.45301225781440735
128,-0.4668126106262207
130,-0.49960431456565857
132,-0.43700623512268066
134,-0.4759966731071472
136,-0.5401380062103271
138,-0.5697817802429199
140,-0.5475746393203735
142,-0.5197250247001648
144,-0.5267377495765686
146,-0.5738786458969116
148,-0.6276870965957642
150,-0.5678665637969971
152,-0.5346016883850098
154,-0.5557658672332764
156,-0.6114941835403442
158,-0.5371383428573608
160,-0.43058478832244873
162,-0.46057307720184326
164,-0.4491386115550995
166,-0.41461077332496643
168,-0.34283334016799927
170,-0.3017679452896118
172,-0.3834700882434845
174,-0.4200432300567627
176,-0.36107778549194336
178,-0.32931867241859436
180,-0.41339555382728577
182,-0.426567405462265
184,-0.38349485397338867
186,-0.39597955346107483
188,-0.37983250617980957
190,-0.4710793197154999
192,-0.463972806930542
194,-0.37614530324935913
196,-0.4127725660800934
198,-0.5107699632644653
200,-0.499924898147583
202,-0.4800073206424713
204,-0.447970449924469
206,-0.4830215573310852
208,-0.4725159704685211
210,-0.47446027398109436
212,-0.5057183504104614
214,-0.4685865640640259
216,-0.5315545797348022
218,-0.6106662750244141
220,-0.5676071643829346
222,-0.5871690511703491
224,-0.5815457105636597
226,-0.6244240999221802
228,-0.6015678644180298
230,-0.6666231751441956
232,-0.6534808278083801
234,-0.6354688405990601
236,-0.61116623878479
238,-0.5990904569625854
240,-0.5350394248962402
242,-0.48924872279167175
244,-0.5328460335731506
246,-0.5436165928840637
248,-0.5480470657348633
250,-0.5297754406929016
252,-0.5637335777282715
254,-0.597059428691864
256,-0.5373410582542419
258,-0.471098929643631
260,-0.5634931325912476
262,-0.6480891704559326
264,-0.5836910009384155
266,-0.5551673769950867
268,-0.5098749399185181
270,-0.5342327952384949
272,-0.4740193486213684
274,-0.3740329444408417
276,-0.4168364405632019
278,-0.4431889057159424
280,-0.4720888137817383
282,-0.44639578461647034
284,-0.41138631105422974
286,-0.3758990168571472
288,-0.42377910017967224
290,-0.45482128858566284
292,-0.4756917953491211
294,-0.44989728927612305
296,-0.44581297039985657
298,-0.38847872614860535
300,-0.3623005151748657
302,-0.36320924758911133
304,-0.36688196659088135
306,-0.3334439992904663
308,-0.3449014723300934
310,-0.37380504608154297
312,-0.3192126452922821
314,-0.289692759513855
316,-0.26981601119041443
318,-0.29192930459976196
320,-0.29990682005882263
322,-0.2739667594432831
324,-0.2863343358039856
326,-0.35458600521087646
328,-0.41068729758262634
330,-0.5122430324554443
332,-0.4790002405643463
334,-0.43692851066589355
336,-0.421036034822464
338,-0.5173519253730774
340,-0.5571685433387756
342,-0.5309193134307861
344,-0.5151404738426208
346,-0.5427947044372559
348,-0.4336162805557251
350,-0.32983097434043884
352,-0.29906633496284485
354,-0.3957185745239258
356,-0.4167345464229584
358,-0.4802246689796448
360,-0.43800362944602966
362,-0.4022181034088135
364,-0.3625495135784149
366,-0.346154123544693
368,-0.3938415050506592
370,-0.4044933617115021
372,-0.42738044261932373
374,-0.4511117935180664
376,-0.49590247869491577
378,-0.5004042387008667
380,-0.4879103899002075
382,-0.4420554041862488
384,-0.43044307827949524
386,-0.3571988344192505
388,-0.3831252157688141
390,-0.38451698422431946
392,-0.4013800621032715
394,-0.3911326825618744
396,-0.35891395807266235
398,-0.318947434425354
400,-0.2654256224632263
402,-0.2891486585140228
404,-0.34163743257522583
406,-0.3829393684864044
408,-0.38058245182037354
410,-0.30210980772972107
412,-0.3275584876537323
414,-0.37019044160842896
416,-0.34421446919441223
418,-0.37076476216316223
420,-0.4097426235675812
422,-0.4111521542072296
424,-0.40809881687164307
426,-0.44095665216445923
428,-0.44409170746803284
430,-0.46687746047973633
432,-0.443972647190094
434,-0.4417780935764313
436,-0.4512912333011627
438,-0.39091619849205017
440,-0.40863218903541565
442,-0.41836345195770264
444,-0.4383397698402405
446,-0.4764584004878998
448,-0.54802006483078
450,-0.5189359784126282
452,-0.5499105453491211
454,-0.5580940842628479
456,-0.5131763815879822
458,-0.47365236282348633
460,-0.46473684906959534
462,-0.4077479839324951
464,-0.39843156933784485
466,-0.42032086849212646
468,-0.42272788286209106
470,-0.39819106459617615
472,-0.3863341808319092
474,-0.3998011648654938
476,-0.38482633233070374
478,-0.3736846148967743
480,-0.35830944776535034
482,-0.4319832921028137
484,-0.5302489399909973
486,-0.59689861536026
488,-0.5848372578620911
490,-0.6401551961898804
492,-0.7353360652923584
494,-0.7137981057167053
496,-0.6965094804763794
498,-0.7873502969741821
500,-0.7771201133728027
502,-0.7456073760986328
