scenario,training_seed,episode,step,reward,key_rate_bits_per_sample,key_rate_bits_per_second,raw_key_disagreement_rate,observation_reciprocity,surface_power_w,robust_reward,mean_sample_reward,cvar_reward,worst_sample_reward,maximum_output_power,power_violation,effective_active_elements,projection_scale,robustly_feasible
fully_active,0,0,1,0.3173685769911125,2.2982001705548454,2298.2001705548455,0.109375,0.89247195616856,1.4138962018275139,0.3173685769911125,0.3188207790252118,0.3159163749570132,0.3159163749570132,16.830548639671978,0.0,10.0,0.006804656190589575,1.0
fully_active,0,0,2,0.09723892239596192,2.6752822956334397,2675.28229563344,0.15625,0.8936515551506483,3.1822697224204672,0.09723892239596192,0.11085080989530247,0.08362703489662138,0.08362703489662138,13.448085618036867,0.0,8.0,0.01862174458058418,1.0
fully_active,0,0,3,0.17498640093894774,3.0931227655964997,3093.1227655965,0.171875,0.9364781176656912,2.7945527220329724,0.17498640093894774,0.19562673868869715,0.15434606318919836,0.15434606318919836,14.542767905819598,0.0,9.0,0.013593503840179063,1.0
fully_active,0,0,4,0.2409135289800345,2.0231791745209264,2023.1791745209264,0.140625,0.867839461384707,1.5620254973603525,0.2409135289800345,0.2830419595516581,0.1987850984084109,0.1987850984084109,14.707105855794108,0.0,9.0,0.008522251904486824,1.0
fully_active,0,0,5,0.40513234487065936,3.1198739591425486,3119.8739591425488,0.109375,0.9389698137635749,1.8008402056104882,0.40513234487065936,0.42762640750632513,0.3826382822349936,0.3826382822349936,14.630837923111127,0.0,8.0,0.011823104681181388,1.0
fully_active,0,0,6,0.25480733650340404,2.801200125176419,2801.200125176419,0.140625,0.9031684128514952,2.0182627451452992,0.25480733650340404,0.26098672857794847,0.24862794442885955,0.24862794442885955,15.298824563916378,0.0,9.0,0.010079965317475197,1.0
fully_active,0,0,7,-0.22433158039807422,1.5767841572050023,1576.7841572050022,0.3125,0.8143370099797188,2.2797937800852326,-0.22433158039807422,-0.16053070349798482,-0.2881324572981636,-0.2881324572981636,14.999260770787211,0.0,9.0,0.012898944717314087,1.0
fully_active,0,0,8,0.3249371438078936,2.7649769779102775,2764.9769779102776,0.203125,0.896389559251674,0.5181059373696839,0.3249371438078936,0.38324240393589093,0.2666318836798964,0.2666318836798964,14.044005017166457,0.0,9.0,0.0018912798952580466,1.0
fully_active,0,0,9,0.21530406410872488,2.0021555259675177,2002.1555259675176,0.15625,0.8662277676234398,1.328943002269963,0.21530406410872488,0.24267299203597448,0.1879351361814753,0.1879351361814753,17.620896365870536,0.0,10.0,0.005528298379508699,1.0
fully_active,0,0,10,0.349219701823563,2.6405021247515905,2640.5021247515906,0.140625,0.9161925517190825,1.1668231567574563,0.349219701823563,0.37422523098817123,0.3242141726589547,0.3242141726589547,16.188551023427138,0.0,9.0,0.004928816289608801,1.0
fully_active,0,0,11,0.11949801467841349,3.296935765047688,3296.9357650476877,0.21875,0.9466605372887629,2.7493531795821857,0.11949801467841349,0.14840750216589535,0.09058852719093163,0.09058852719093163,14.432807848432978,0.0,8.0,0.025528848009097417,1.0
fully_active,0,0,12,0.33078857452350585,2.7745575820537236,2774.5575820537238,0.171875,0.9234171073739006,0.8537938149130601,0.33078857452350585,0.351542218645995,0.31003493040101665,0.31003493040101665,14.783403101173283,0.0,9.0,0.0020328302110502647,1.0
fully_active,0,0,13,0.36001979855082056,3.1320703637469123,3132.0703637469123,0.15625,0.9200897819411511,1.3127220420020733,0.36001979855082056,0.39055987395658165,0.32947972314505947,0.32947972314505947,15.196489402948654,0.0,9.0,0.009643845592938278,1.0
fully_active,0,0,14,0.2991490231052527,2.6039386122093675,2603.9386122093674,0.15625,0.9019584367648215,1.2521749337657995,0.2991490231052527,0.324642459983738,0.2736555862267675,0.2736555862267675,14.87198669063623,0.0,8.0,0.008179061247455908,1.0
fully_active,0,0,15,0.08540885591690006,2.9847288710426483,2984.7288710426483,0.109375,0.9216517574432597,4.6005509847039265,0.08540885591690006,0.09032404447829806,0.08049366735550206,0.08049366735550206,13.516422814011419,0.0,7.0,0.08154310427822554,1.0
fully_active,0,0,16,0.36438369645762636,2.945631535753489,2945.6315357534886,0.15625,0.9327937528356152,0.9091747981853712,0.36438369645762636,0.37122484274063344,0.35754255017461933,0.35754255017461933,13.230373379228865,0.0,7.0,0.007374887691813796,1.0
fully_active,0,1,1,0.3956678450441773,3.009606339225618,3009.606339225618,0.15625,0.9358473775398948,0.7633756246471348,0.3956678450441773,0.4112889298605589,0.3800467602277957,0.3800467602277957,9.97533991049579,0.0,6.0,1.0,1.0
fully_active,0,1,2,0.43682594078284975,2.8349980444238145,2834.9980444238145,0.125,0.9190456515757393,0.7302683181396257,0.43682594078284975,0.4536560831494111,0.4199957984162885,0.4199957984162885,9.711225720974552,0.0,6.0,1.0,1.0
fully_active,0,1,3,0.3845910868442567,2.632574005027906,2632.574005027906,0.15625,0.9088547763016632,0.40761424415684944,0.3845910868442567,0.4047588094505761,0.3644233642379373,0.3644233642379373,6.593552473901813,0.0,4.0,1.0,1.0
fully_active,0,1,4,0.37657221249744677,2.9961439813236863,2996.143981323686,0.171875,0.8862788403778197,0.42269186712911155,0.37657221249744677,0.39640979338652627,0.35673463160836727,0.35673463160836727,5.578633774266644,0.0,3.0,1.0,1.0
fully_active,0,1,5,0.4903320140247361,3.0581371623635274,3058.1371623635273,0.125,0.9164396893580398,0.4505918802854566,0.4903320140247361,0.5116896551626453,0.46897437288682686,0.46897437288682686,13.084427038408148,0.0,6.0,1.0,1.0
fully_active,0,1,6,-0.007982028930517332,2.6107985504107134,2610.7985504107132,0.203125,0.8963617067239937,3.669090111283095,-0.007982028930517332,0.047934244864206665,-0.06389830272524133,-0.06389830272524133,10.915772801230828,0.0,7.0,0.05638306121137312,1.0
fully_active,0,1,7,-0.23463440514368641,2.8233181041207,2823.3181041207,0.1875,0.9266686670812512,6.467164424047572,-0.23463440514368641,-0.1932185118353112,-0.27605029845206164,-0.27605029845206164,12.40405975698864,0.0,6.0,0.13213074229918223,1.0
fully_active,0,1,8,0.2927949422636885,2.6639096429583917,2663.909642958392,0.1875,0.8712394138974406,0.6240336268007782,0.2927949422636885,0.32098257596289537,0.26460730856448167,0.26460730856448167,7.367906292038164,0.0,5.0,1.0,1.0
fully_active,0,1,9,0.27270317550576473,2.2313699638295876,2231.3699638295875,0.171875,0.887154395380808,0.718844095961163,0.27270317550576473,0.294326566534283,0.25107978447724644,0.25107978447724644,11.770164486624324,0.0,9.0,0.010752671801674185,1.0
fully_active,0,1,10,0.3925355612422785,2.712956609458675,2712.956609458675,0.140625,0.9205735016250589,0.6149912554859036,0.3925355612422785,0.3962378362747505,0.38883328620980656,0.38883328620980656,9.629302286782995,0.0,8.0,1.0,1.0
fully_active,0,1,11,0.31583448767177735,3.176149537601053,3176.149537601053,0.09375,0.9399983295856145,2.932889998800266,0.31583448767177735,0.32484385667066884,0.3068251186728859,0.3068251186728859,10.736383219366541,0.0,6.0,0.08089173294720418,1.0
fully_active,0,1,12,0.11574408368109979,2.8816631338242695,2881.6631338242696,0.171875,0.9050715581363403,3.2962545034807125,0.11574408368109979,0.1641615252596737,0.06732664210252587,0.06732664210252587,10.839253820262575,0.0,7.0,0.05762249569514573,1.0
fully_active,0,1,13,0.3318351511168812,2.361670612776064,2361.670612776064,0.140625,0.8837703098641692,0.7068490922696342,0.3318351511168812,0.3375529952510349,0.32611730698272756,0.32611730698272756,10.515284781181279,0.0,6.0,1.0,1.0
fully_active,0,1,14,0.09347365721452366,2.3703117464791053,2370.3117464791053,0.203125,0.8740802389103236,1.7701738639018485,0.09347365721452366,0.09614340671615987,0.09080390771288746,0.09080390771288746,10.828279158425191,0.0,7.0,0.05747255924776843,1.0
fully_active,0,1,15,0.017600321851449136,1.7493345765692028,1749.3345765692027,0.21875,0.8370387427047201,1.5849704347473492,0.017600321851449136,0.03774485816835288,-0.0025442144654546084,-0.0025442144654546084,11.679261482235777,0.0,7.0,0.04960008641983825,1.0
fully_active,0,1,16,0.4610708725785981,3.2693749712207687,3269.3749712207687,0.125,0.9003388804922547,0.9571248929367556,0.4610708725785981,0.4907472970826675,0.43139444807452865,0.43139444807452865,12.282526071938353,0.0,8.0,0.015858351562786952,1.0
