episode,environment_step,episode_return,episode_length
1,16,2.608520578089647,16
2,32,0.9481396559923099,16
3,48,1.4733186056235785,16
4,64,3.6738835150793623,16
5,80,-0.17087424790504235,16
6,96,4.068269175632525,16
7,112,3.1164565060621476,16
8,128,-0.8759164369959265,16
9,144,3.772775633727728,16
10,160,2.5610702511722705,16
11,176,1.2314608442678894,16
12,192,2.782700162510372,16
13,208,1.5482171866277281,16
14,224,5.160561902860003,16
15,240,0.0701483068991085,16
16,256,1.672100478589619,16
17,272,-0.4790541248214071,16
18,288,3.1738856794380945,16
19,304,5.214812160774145,16
20,320,2.768504850368122,16
21,336,5.892472826628202,16
22,352,6.776897234893273,16
23,368,-1.1149681725629081,16
24,384,3.9880296867617666,16
25,400,3.5330308304459375,16
26,416,6.537380137064076,16
27,432,7.045644124371187,16
28,448,3.160390831238089,16
29,464,2.267206435688455,16
30,480,-1.7422342310275978,16
31,496,0.966269877712868,16
32,512,1.0954891012550165,16
33,528,3.868433716395277,16
34,544,3.3612719641523854,16
35,560,0.199386549272689,16
36,576,3.0653554452635285,16
37,592,-1.2392783556623508,16
38,608,1.1034925506356277,16
39,624,4.329178161704333,16
40,640,1.6859298268150775,16
41,656,1.1835606698439338,16
42,672,-0.20451355397688153,16
43,688,8.851207692951302,16
44,704,4.3405968437752085,16
45,720,2.956792637156122,16
46,736,4.873243353251186,16
47,752,3.6731494739007298,16
48,768,0.8669726941985023,16
49,784,0.6863391728073025,16
50,800,1.6707849924987386,16
51,816,3.384086408530127,16
52,832,0.8600445119979688,16
53,848,3.5276988903523123,16
54,864,3.313379762523361,16
55,880,2.208866535035957,16
56,896,0.16810103264884493,16
57,912,3.0782995083103484,16
58,928,6.0543206574186135,16
59,944,1.5080102218724214,16
60,960,6.396627764196596,16
61,976,1.854535448298031,16
62,992,3.5388057255671486,16
63,1008,0.8760590012153768,16
64,1024,7.6646249429617495,16
65,1040,4.751529921212156,16
66,1056,-0.5544490474821389,16
67,1072,2.7154556822884564,16
68,1088,3.3520919904202944,16
69,1104,3.884533179333393,16
70,1120,4.417571219820945,16
71,1136,-0.12980714058197773,16
72,1152,3.366152107983309,16
73,1168,2.8367723393503446,16
74,1184,1.2091692717213207,16
75,1200,5.572002258676923,16
76,1216,5.826706681352899,16
77,1232,3.9681336466225043,16
78,1248,1.6342415465001272,16
79,1264,3.2816328515275486,16
80,1280,1.7592737649613515,16
81,1296,4.735157938810563,16
82,1312,7.650252927245574,16
83,1328,2.9582012652454694,16
84,1344,3.586154872869108,16
85,1360,4.606001555265776,16
86,1376,4.033672616479957,16
87,1392,-0.04300002506595099,16
88,1408,6.669585223093437,16
89,1424,-1.3141943141491519,16
90,1440,1.8946057067438042,16
91,1456,6.845688729678125,16
92,1472,3.961489782770238,16
93,1488,3.098090620880096,16
94,1504,4.551411109078833,16
95,1520,4.54495917878181,16
96,1536,5.206975871651388,16
97,1552,3.1203221767496507,16
98,1568,3.6742799712306047,16
99,1584,2.6343256759798077,16
100,1600,4.583254309684226,16
101,1616,4.525198890248795,16
102,1632,6.336531455930816,16
103,1648,-0.653051549800113,16
104,1664,0.862886362096126,16
105,1680,2.2814296408486268,16
106,1696,-0.07408464067854355,16
107,1712,1.6198125363313567,16
108,1728,3.4863101797685045,16
109,1744,1.4144810110164545,16
110,1760,1.0463847473592154,16
111,1776,3.9231368813837273,16
112,1792,3.377274246280395,16
113,1808,2.867517746078177,16
114,1824,6.707929646453052,16
115,1840,4.380757175276792,16
116,1856,4.631631494078961,16
117,1872,1.3270682696750793,16
118,1888,3.549454189382925,16
119,1904,-0.8652560044276167,16
120,1920,3.1738149968463474,16
121,1936,0.2237156658463365,16
122,1952,4.6279666909914,16
123,1968,3.7736281116051744,16
124,1984,-0.08273780936321967,16
125,2000,4.148760774709941,16
