environment_step,mean_return,key_rate_bits_per_sample,key_rate_bits_per_second,raw_key_disagreement_rate,observation_reciprocity,surface_power_w,robust_reward,cvar_reward,worst_sample_reward,robust_feasibility_rate,effective_active_elements,power_violation
500,2.535807426751408,2.899302000573103,2899.3020005731037,0.14013671875,0.9163247898645593,3.2322462616902574,0.15848796417196304,0.1445945313205642,0.1445945313205642,1.0,15.125,0.0
1000,1.7823117893450926,2.435041710116143,2435.041710116143,0.1650390625,0.8843114024069556,2.6143979271352125,0.11139448683406827,0.09414195450157081,0.09414195450157081,1.0,8.5,0.0
1500,1.0391717240875318,2.45317589654153,2453.17589654153,0.16064453125,0.8908447561005195,3.236231331731634,0.06494823275547072,0.04582777203124934,0.04582777203124934,1.0,18.09375,0.0
2000,2.8484635362236657,3.1363465396738297,3136.3465396738293,0.13916015625,0.9291888418663636,3.34789849222659,0.1780289710139791,0.16511891317790578,0.16511891317790578,1.0,14.8125,0.0
