episode,architecture,robust_reward,mean_reward,cvar_reward,worst_reward,mean_secure_key_rate_bps,cvar_secure_key_rate_bps,worst_secure_key_rate_bps,mean_raw_kdr,cvar_raw_kdr,worst_raw_kdr,mean_post_reconciliation_kdr,cvar_post_reconciliation_kdr,worst_post_reconciliation_kdr,mean_reciprocity,mean_surface_power_watt,power_violation_probability,mean_active_elements,mean_projection_scale
0.0,passive,-0.05455494907701952,-0.025366956730559893,-0.08374294142347914,-0.10445629602522528,0.0,0.0,0.0,0.2658278951225342,0.34835894450890115,0.37219917012448134,0.11321529918074126,0.18956211778672144,0.19766928577734616,0.6287349541535361,0.18200000000000002,0.0,0.0,1.0
1.0,passive,-0.1852077557111356,-0.1668306135888579,-0.2035848978334133,-0.2085539639633431,0.0,0.0,0.0,0.4098413639784503,0.4566462168134625,0.45941937032718294,0.2563012776289163,0.2986229908420581,0.29791137938130186,0.28145034200183616,0.18200000000000002,0.0,0.0,1.0
2.0,passive,-0.02850548133803639,-0.007835166513407491,-0.04917579616266529,-0.05731447097228612,0.0,0.0,0.0,0.2567966832432532,0.30779697193235467,0.30588340486409155,0.1094569945494053,0.158286019249886,0.14100500715307582,0.6938158755410955,0.18200000000000002,0.0,0.0,1.0
3.0,passive,-0.21320197593347867,-0.19593667530487563,-0.23046727656208169,-0.2364743057434082,0.0,0.0,0.0,0.43226636629910586,0.4808200869812021,0.483574208401089,0.2804499042015266,0.3273382438893512,0.31473936160494054,0.19198253922338646,0.18200000000000002,0.0,0.0,1.0
4.0,passive,-0.11506161083095262,-0.0890558986741178,-0.14106732298778743,-0.16850221901279683,0.0,0.0,0.0,0.327353039018238,0.38102265088362686,0.4008624695626313,0.17606481639384894,0.22873773208736825,0.2541497053848585,0.464103104175006,0.18200000000000002,0.0,0.0,1.0
5.0,passive,-0.01833533446266751,-3.0114971021894758e-05,-0.03664055395431313,-0.06249367954284027,0.0,0.0,0.0,0.24245905016672442,0.2973879890440022,0.3354670806319058,0.09355065226631606,0.1393539510892479,0.19647520774358507,0.6969970505617016,0.18200000000000002,0.0,0.0,1.0
6.0,passive,-0.11466116179493926,-0.09162592859215488,-0.13769639499772365,-0.1565150128739173,0.0,0.0,0.0,0.3278175197931664,0.38634400125650314,0.41103497576454995,0.17930059518912295,0.23504398912023272,0.2503748648742895,0.4524141565221417,0.18200000000000002,0.0,0.0,1.0
7.0,passive,-0.03732641360145669,-0.01591332224093292,-0.058739504961980465,-0.08065324612760187,0.0,0.0,0.0,0.24672224515640254,0.30751148732673084,0.33620689655172414,0.10087016647424706,0.1447868557126885,0.20149035651665692,0.6282390016863417,0.18200000000000002,0.0,0.0,1.0
8.0,passive,-0.012225586967288659,0.010278543429185707,-0.03472971736376303,-0.042368332315018256,0.0,0.0,0.0,0.23267135869678807,0.2946494909638049,0.3093158280154828,0.09037744297020239,0.1584065913222181,0.17564598807406634,0.7240711138878987,0.18200000000000002,0.0,0.0,1.0
9.0,passive,-0.17667206971925303,-0.1488180671641032,-0.2045260722744029,-0.2172413291510597,0.0,0.0,0.0,0.38883215425604034,0.4531514053977144,0.45501054852320677,0.23304308189761397,0.29115921478251705,0.3103902953586498,0.31899004981958495,0.18200000000000002,0.0,0.0,1.0
