environment_step,mean_return,key_rate_bits_per_sample,key_rate_bits_per_second,raw_key_disagreement_rate,observation_reciprocity,surface_power_w,robust_reward,cvar_reward,worst_sample_reward,robust_feasibility_rate,effective_active_elements,power_violation
500,6.632432420545408,3.629369496980014,3629.3694969800144,0.123046875,0.9489837497012046,1.9128435004889668,0.414527026284088,0.400050724499707,0.400050724499707,1.0,8.0,0.0
1000,6.336863011649278,2.8870861477335987,2887.0861477335984,0.1396484375,0.9134254831100391,0.8362266829348755,0.39605393822807994,0.3825018130348919,0.3825018130348919,1.0,8.0,0.0
1500,7.201161854992659,3.1264507987155907,3126.4507987155907,0.14208984375,0.9297651266996521,0.6322750378619324,0.4500726159370412,0.4301204519351919,0.4301204519351919,1.0,8.0,0.0
2000,9.422354564995892,4.036975333908966,4036.9753339089657,0.1025390625,0.9624667668133338,1.0176568617747115,0.5888971603122433,0.5780871056200924,0.5780871056200924,1.0,8.0,0.0
