scenario,training_seed,episode,step,reward,key_rate_bits_per_sample,key_rate_bits_per_second,raw_key_disagreement_rate,observation_reciprocity,surface_power_w,robust_reward,mean_sample_reward,cvar_reward,worst_sample_reward,maximum_output_power,power_violation,effective_active_elements,projection_scale,robustly_feasible
partially_active__perfect_csi,0,0,1,0.6684592255477844,3.7091505547519166,3709.1505547519164,0.0625,0.9587630804738811,0.6261852274902918,0.6684592255477844,0.6742403781324657,0.662678072963103,0.662678072963103,7.481629838246931,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,0,2,0.43668546641111217,2.7774979093278658,2777.4979093278657,0.125,0.9237731601050436,0.6856672354031359,0.43668546641111217,0.45230128537722963,0.42106964744499475,0.42106964744499475,8.293548316362784,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,0,3,0.5157258571137773,3.4472922148235865,3447.2922148235866,0.125,0.9283419580745386,0.7138772210817723,0.5157258571137773,0.5439392358161038,0.48751247841145073,0.48751247841145073,10.456440271915595,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,0,4,0.28865415770228514,2.3085503790633664,2308.5503790633666,0.171875,0.8933781796997753,0.7353010176137308,0.28865415770228514,0.31704428940971907,0.2602640259948512,0.2602640259948512,8.34094756744107,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,0,5,0.502448431713939,3.4623233294397284,3462.3233294397282,0.125,0.946961281921885,0.7079905122786686,0.502448431713939,0.5059829407508295,0.4989139226770485,0.4989139226770485,9.690878936093878,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,0,6,0.34295843817369454,3.041952261555999,3041.952261555999,0.1875,0.9009638619656208,0.6865359368797916,0.34295843817369454,0.37489331289695793,0.31102356345043114,0.31102356345043114,9.232307746044889,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,0,7,0.3023594406322505,2.7113014077645006,2711.3014077645007,0.1875,0.9126480998020032,0.673461396766875,0.3023594406322505,0.3196108302637368,0.2851080510007642,0.2851080510007642,8.642844274776518,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,0,8,0.43652329022132214,2.90203503253853,2902.03503253853,0.125,0.9116772112983421,0.7273487911923104,0.43652329022132214,0.4497393506588513,0.423307229783793,0.423307229783793,9.725280658232606,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,0,9,0.5143158682221294,3.219476448893843,3219.476448893843,0.109375,0.9447419797384125,0.6748543930713176,0.5143158682221294,0.5205485409928,0.5080831954514587,0.5080831954514587,9.050522166569086,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,0,10,0.22657950631270318,2.5484820764848175,2548.4820764848173,0.21875,0.897001765283739,0.6184654616178639,0.22657950631270318,0.2491564684968416,0.2040025441285648,0.2040025441285648,7.309766751598313,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,0,11,0.45070818567258886,3.236633980770148,3236.633980770148,0.140625,0.9446624630789918,0.667305834368253,0.45070818567258886,0.4534023251654923,0.4480140461796854,0.4480140461796854,9.345219049729948,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,0,12,0.38858096020295085,3.32162811602685,3321.62811602685,0.1875,0.9478221584470891,0.6237245448737763,0.38858096020295085,0.4084604840670498,0.3687014363388519,0.3687014363388519,7.599354499216288,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,0,13,0.5351550578910964,3.165052877334297,3165.052877334297,0.09375,0.9272449289706972,0.6459776756972453,0.5351550578910964,0.5422801311331391,0.5280299846490538,0.5280299846490538,7.336084726006365,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,0,14,0.5108557255665169,3.3154253083666623,3315.425308366662,0.125,0.9428407495466111,0.6482151790798357,0.5108557255665169,0.5335700634310455,0.4881413877019883,0.4881413877019883,7.043268218416699,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,0,15,0.4343161448656458,2.8766326571231944,2876.6326571231943,0.125,0.9287655819864067,0.6902141283003682,0.4343161448656458,0.4356076458558057,0.4330246438754859,0.4330246438754859,9.598571250277349,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,0,16,0.4659947114927875,3.0377746595004247,3037.7746595004246,0.125,0.9201519611239581,0.6837535764369259,0.4659947114927875,0.48651133411724606,0.44547808886832885,0.44547808886832885,8.22936239415131,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,1,1,0.3051517070711267,2.3139534435869704,2313.9534435869705,0.171875,0.8895535846232712,0.4696771596108601,0.3051517070711267,0.3248489934330069,0.2854544207092466,0.2854544207092466,8.668841891039209,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,1,2,0.4854453058825227,2.812951287935525,2812.951287935525,0.109375,0.9215738303361634,0.4495622259954156,0.4854453058825227,0.49251479040295276,0.47837582136209267,0.47837582136209267,7.588657052363914,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,1,3,0.37914138925465535,2.561221728567933,2561.221728567933,0.171875,0.9094257469366049,0.4403475936314495,0.37914138925465535,0.4352324915473598,0.3230502869619508,0.3230502869619508,7.227167094992993,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,1,4,0.601587251246482,3.3174482174774758,3317.4482174774757,0.078125,0.9327458901331018,0.4284210904976063,0.601587251246482,0.6041488447284262,0.5990256577645379,0.5990256577645379,6.33900648419846,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,1,5,0.26101837548046425,2.065417504267513,2065.4175042675133,0.171875,0.8722999914809837,0.4511021028108181,0.26101837548046425,0.26820521507476713,0.25383153588616136,0.25383153588616136,7.562386100708486,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,1,6,0.44042993849591616,2.935390761846122,2935.390761846122,0.15625,0.9305884326681257,0.44874605823667346,0.44042993849591616,0.47940119029682465,0.4014586866950077,0.4014586866950077,7.246309119701647,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,1,7,0.5036642161565044,3.7073466741753505,3707.3466741753505,0.15625,0.9595849138540757,0.44223214552606643,0.5036642161565044,0.5135245225210424,0.49380390979196626,0.49380390979196626,7.210206144709066,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,1,8,0.34082621355381404,2.3799519251143177,2379.951925114318,0.15625,0.8909648470441338,0.4885765079562615,0.34082621355381404,0.3595324618697556,0.3221199652378725,0.3221199652378725,7.349445317582207,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,1,9,0.31849791070400063,2.612856699938992,2612.856699938992,0.1875,0.9145273672558585,0.4622423000004555,0.31849791070400063,0.3396706977862184,0.29732512362178287,0.29732512362178287,8.558573135190258,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,1,10,0.42350512901400267,2.8445173458689723,2844.5173458689724,0.140625,0.9105381278711648,0.44865110848006323,0.42350512901400267,0.43340457035353197,0.41360568767447337,0.41360568767447337,7.736005707483427,0.0,8.0,1.0,1.0
partially_active__perfect_csi,0,1,11,0.5704275403371806,3.3942262141870363,3394.2262141870365,0.109375,0.9418962218011748,0.5337868552984333,0.5704275403371806,0.6026130338849134,0.5382420467894476,0.5382420467894476,7.636991537749921,0.0,8.0,1.0,1.0
