architecture,robust_reward_mean,robust_reward_std,robust_reward_ci95_half_width,mean_reward_mean,mean_reward_std,mean_reward_ci95_half_width,cvar_reward_mean,cvar_reward_std,cvar_reward_ci95_half_width,worst_reward_mean,worst_reward_std,worst_reward_ci95_half_width,mean_secure_key_rate_bps_mean,mean_secure_key_rate_bps_std,mean_secure_key_rate_bps_ci95_half_width,cvar_secure_key_rate_bps_mean,cvar_secure_key_rate_bps_std,cvar_secure_key_rate_bps_ci95_half_width,worst_secure_key_rate_bps_mean,worst_secure_key_rate_bps_std,worst_secure_key_rate_bps_ci95_half_width,mean_raw_kdr_mean,mean_raw_kdr_std,mean_raw_kdr_ci95_half_width,cvar_raw_kdr_mean,cvar_raw_kdr_std,cvar_raw_kdr_ci95_half_width,worst_raw_kdr_mean,worst_raw_kdr_std,worst_raw_kdr_ci95_half_width,mean_post_reconciliation_kdr_mean,mean_post_reconciliation_kdr_std,mean_post_reconciliation_kdr_ci95_half_width,cvar_post_reconciliation_kdr_mean,cvar_post_reconciliation_kdr_std,cvar_post_reconciliation_kdr_ci95_half_width,worst_post_reconciliation_kdr_mean,worst_post_reconciliation_kdr_std,worst_post_reconciliation_kdr_ci95_half_width,mean_reciprocity_mean,mean_reciprocity_std,mean_reciprocity_ci95_half_width,mean_surface_power_watt_mean,mean_surface_power_watt_std,mean_surface_power_watt_ci95_half_width,power_violation_probability_mean,power_violation_probability_std,power_violation_probability_ci95_half_width,mean_active_elements_mean,mean_active_elements_std,mean_active_elements_ci95_half_width,mean_projection_scale_mean,mean_projection_scale_std,mean_projection_scale_ci95_half_width,seed
passive,-0.1519218301986307,0.0,0.0,-0.13987852443349147,0.0,0.0,-0.16396513596376996,0.0,0.0,-0.16396513596376996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41370371841728903,0.0,0.0,0.47580645161290325,0.0,0.0,0.47580645161290325,0.0,0.0,0.30326023624132636,0.0,0.0,0.3602150537634409,0.0,0.0,0.3602150537634409,0.0,0.0,0.42586667387576527,0.0,0.0,0.18200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
partially_active_fixed,-0.13318679804917433,0.0,0.0,-0.11128416311997019,0.0,0.0,-0.15508943297837846,0.0,0.0,-0.15508943297837846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3484797923618836,0.0,0.0,0.43333333333333335,0.0,0.0,0.43333333333333335,0.0,0.0,0.24899888765294775,0.0,0.0,0.30000000000000004,0.0,0.0,0.30000000000000004,0.0,0.0,0.4617792170977676,0.0,0.0,0.29400110358581916,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.3836639255524954,0.0,0.0,0.0
