environment_step,mean_return,key_rate_bits_per_sample,key_rate_bits_per_second,raw_key_disagreement_rate,observation_reciprocity,surface_power_w,robust_reward,cvar_reward,worst_sample_reward,robust_feasibility_rate,effective_active_elements,power_violation
500,-16.780599606714848,3.3541220859381653,3354.122085938165,0.1220703125,0.938545396751022,16.256861506129685,-1.0487874754196782,-1.0651418686436411,-1.0651418686436411,1.0,8.0,0.0
1000,-33.603112517741025,3.4121927101430063,3412.1927101430065,0.12744140625,0.9443341808383049,26.759539962874758,-2.100194532358814,-2.117450447354023,-2.117450447354023,1.0,8.0,0.0
1500,-40.915809834011725,3.3740909886678083,3374.0909886678087,0.11962890625,0.9411325146873049,31.415367786884232,-2.557238114625733,-2.57281923497799,-2.57281923497799,1.0,8.0,0.0
2000,-17.069553639750122,3.835577004425035,3835.577004425035,0.103515625,0.9574759281595282,17.363418464274794,-1.0668471024843824,-1.0810774319052119,-1.0810774319052119,1.0,8.0,0.0
