update_index,critic_loss
1,5.361580848693848
2,4.291955947875977
3,4.255171775817871
4,4.469947814941406
5,4.500121116638184
6,3.7542436122894287
7,2.926668882369995
8,3.9006075859069824
9,4.577668190002441
10,4.874762535095215
11,3.9071011543273926
12,3.1679770946502686
13,3.5412485599517822
14,3.8570775985717773
15,3.345028877258301
16,3.153481960296631
17,2.909998893737793
18,4.440176010131836
19,2.3179049491882324
20,2.520094871520996
21,3.4591965675354004
22,2.9627203941345215
23,3.4337971210479736
24,2.398031234741211
25,2.305290699005127
26,2.2394988536834717
27,2.023179054260254
28,2.099236488342285
29,2.361762046813965
30,2.6195363998413086
31,2.5334746837615967
32,2.7288310527801514
33,1.8380718231201172
34,2.0677781105041504
35,1.7109179496765137
36,1.8345913887023926
37,2.8554060459136963
38,1.787042260169983
39,1.0423314571380615
40,1.4244983196258545
41,1.4409332275390625
42,1.4467180967330933
43,1.4724013805389404
44,1.712543249130249
45,1.1977708339691162
46,1.2630867958068848
47,1.1193275451660156
48,1.2043781280517578
49,1.0547231435775757
50,1.1257102489471436
51,1.1097005605697632
52,1.0771855115890503
53,1.1234781742095947
54,0.9025757312774658
55,0.8512457609176636
56,0.7076694965362549
57,0.8753190636634827
58,0.6086852550506592
59,0.8297879099845886
60,0.6257821321487427
61,0.6343193054199219
62,0.5018417835235596
63,0.5338650345802307
64,0.48149925470352173
65,0.49132418632507324
66,0.541476309299469
67,0.5573655962944031
68,0.5717086791992188
69,0.5460032224655151
70,0.5521275401115417
71,0.6489837169647217
72,0.6398944854736328
73,0.39750707149505615
74,0.40325576066970825
75,0.7199083566665649
76,0.47669297456741333
77,0.5903503894805908
78,0.7012678384780884
79,0.7031902074813843
80,0.4317559003829956
81,0.616180419921875
82,1.5419623851776123
83,1.179795265197754
84,0.4305928349494934
85,0.23137319087982178
86,0.4347899556159973
87,0.8258334398269653
88,0.8747676610946655
89,0.5752419233322144
90,0.8167736530303955
91,0.6894716024398804
92,0.8978492021560669
93,0.5555203557014465
94,1.219994068145752
95,0.3899698257446289
96,0.41528722643852234
97,0.7703396081924438
98,1.0625284910202026
99,0.891162097454071
100,0.7734640836715698
101,0.8240724802017212
102,0.9805721044540405
103,0.7592744827270508
104,0.33029574155807495
105,0.8456941843032837
106,0.9502201676368713
107,0.43208450078964233
108,0.5289425849914551
109,0.5080603361129761
110,0.5336945652961731
111,0.5237510204315186
112,0.45889031887054443
113,0.701920747756958
114,0.606265127658844
115,0.28209251165390015
116,0.5804412364959717
117,0.5667425394058228
118,0.4935928285121918
119,0.6450322866439819
120,0.5698330402374268
121,0.2784208655357361
122,0.43976566195487976
123,0.9136000871658325
124,0.3509691059589386
125,0.5721225738525391
126,0.2680434584617615
127,0.6864297389984131
128,0.5510271787643433
129,0.31680208444595337
130,0.4934915602207184
131,0.20053374767303467
132,0.2815901041030884
133,0.6625008583068848
134,0.5125612020492554
135,0.3404659032821655
136,0.3559931516647339
137,0.3161734938621521
138,0.6071348190307617
