update_index,actor_loss
2,-0.06313478201627731
4,-0.1413745880126953
6,-0.2230227291584015
8,-0.32737231254577637
10,-0.4450818598270416
12,-0.5764027833938599
14,-0.6839647889137268
16,-0.7176576852798462
18,-0.7215892672538757
20,-0.7017930746078491
22,-0.6585934162139893
24,-0.6208582520484924
26,-0.5988118052482605
28,-0.6040689945220947
30,-0.6238958239555359
32,-0.6685835719108582
34,-0.7227773666381836
36,-0.7859440445899963
38,-0.8401325345039368
40,-0.8651278018951416
42,-0.8813846707344055
44,-0.8457804918289185
46,-0.7953220009803772
48,-0.7610218524932861
50,-0.7079367637634277
52,-0.6873467564582825
54,-0.6693336367607117
56,-0.6524297595024109
58,-0.6563150882720947
60,-0.6803309917449951
62,-0.6813315749168396
64,-0.66657954454422
66,-0.6639931201934814
68,-0.6523105502128601
70,-0.6360266208648682
72,-0.6141986846923828
74,-0.6039882302284241
76,-0.6145510673522949
78,-0.6333110332489014
80,-0.6852444410324097
82,-0.7005792260169983
84,-0.719162106513977
86,-0.7214928269386292
88,-0.7148666381835938
90,-0.7196159958839417
92,-0.6909995079040527
94,-0.684065043926239
96,-0.6783857345581055
98,-0.6737926006317139
100,-0.6952956914901733
102,-0.6967164278030396
104,-0.7227011919021606
106,-0.7202362418174744
108,-0.7430698275566101
110,-0.7125550508499146
112,-0.7150217890739441
114,-0.7142553925514221
116,-0.7318697571754456
118,-0.7717419266700745
120,-0.7799456119537354
122,-0.766857385635376
124,-0.7654036283493042
126,-0.7745758891105652
128,-0.7550249099731445
130,-0.7577434182167053
132,-0.7646719813346863
134,-0.7298364639282227
136,-0.7492210268974304
138,-0.727496325969696
140,-0.757634699344635
142,-0.7630900144577026
144,-0.7354698777198792
146,-0.7687429785728455
148,-0.7984334826469421
150,-0.7709890604019165
152,-0.7526188492774963
154,-0.7501603960990906
156,-0.7535558938980103
158,-0.7687616944313049
160,-0.8191008567810059
162,-0.830574631690979
164,-0.8179657459259033
166,-0.8101511597633362
168,-0.824655294418335
170,-0.8078998327255249
172,-0.8402776718139648
174,-0.8290098309516907
176,-0.8201935291290283
178,-0.8394614458084106
180,-0.8302759528160095
182,-0.8457048535346985
184,-0.8215817213058472
186,-0.8217421770095825
188,-0.8186420202255249
190,-0.8334284424781799
192,-0.8116264939308167
194,-0.7713003158569336
196,-0.7691486477851868
198,-0.7840784192085266
200,-0.7756752967834473
202,-0.819248378276825
204,-0.7956184148788452
206,-0.8042364716529846
208,-0.8144738078117371
210,-0.7929697036743164
212,-0.7922360301017761
214,-0.8393646478652954
216,-0.8305771350860596
218,-0.8441299200057983
220,-0.8220396041870117
222,-0.778813898563385
224,-0.8105701208114624
226,-0.8461407423019409
228,-0.822967529296875
230,-0.831419825553894
232,-0.8164889216423035
234,-0.838296115398407
236,-0.8698697686195374
238,-0.8741286396980286
240,-0.8207159638404846
242,-0.8458709716796875
244,-0.9400100708007812
246,-0.8927217721939087
248,-0.8062601089477539
250,-0.7864131927490234
252,-0.8351471424102783
254,-0.9018490314483643
256,-0.8836919665336609
258,-0.8192083239555359
260,-0.7938734292984009
262,-0.9113407135009766
264,-0.9212684035301208
266,-0.8641229867935181
268,-0.832873523235321
270,-0.8994377851486206
272,-0.9324073791503906
274,-0.92092365026474
276,-0.9014007449150085
278,-0.9235104918479919
280,-0.8798383474349976
282,-0.9384170770645142
284,-0.9680044054985046
286,-0.9597682952880859
288,-0.9730958938598633
290,-0.9481425881385803
292,-1.0320383310317993
294,-1.005651831626892
296,-0.997821033000946
298,-0.9530000686645508
300,-0.9598650336265564
302,-0.9962241053581238
304,-1.078949213027954
306,-1.0611090660095215
308,-1.043630599975586
310,-1.0791354179382324
312,-1.106888771057129
314,-1.145673394203186
316,-1.189773440361023
318,-1.2031915187835693
320,-1.2295525074005127
322,-1.2251145839691162
324,-1.2345844507217407
326,-1.2141571044921875
328,-1.214996337890625
330,-1.1861488819122314
